locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
originalpancakehouse.com,Bethesda,7700 Wisconsin Ave Store D,Bethesda,Maryland,20814,US,,301-986-0285,,,38.9867474,-77.09509729999999,
originalpancakehouse.com,Rockville,12224 Rockville Pike,Rockville,Maryland,20852,US,,301-468-0886,,,39.0557525,-77.1195304,
originalpancakehouse.com,Whippany,831 Route 10 East,Whippany,NJ,07020,US,,201-366-4065,,,40.8255623,-74.4260652,
originalpancakehouse.com,Fort Lee Town Center,1638 Schlosser Street,Fort Lee,Jersey,07006,US,,973-575-9161,,,40.8496716,-73.96968389999999,
originalpancakehouse.com,Birmingham,33703 S. Woodward Ave.,Birmingham,Michigan,49770,US,,231-439-9989,,,42.5370274,-83.2052119,
originalpancakehouse.com,Southfield,19355 West Ten Mile Road,Southfield,Michigan,48009,US,,248-642-5775,,,42.4726922,-83.2350843,
originalpancakehouse.com,Madison,5518 University Avenue,Madison,Wisconsin,53705,US,,608-231-3666,,,43.0833456,-89.47595299999999,
originalpancakehouse.com,Milwaukee,2621 North Downer Avenue,Milwaukee,Wisconsin,53211,US,,414-431-5055,,,43.0665703,-87.87837259999999,
originalpancakehouse.com,Burnsville,14351 Nicollet Ct.,Burnsville,Minnesota,55306,US,,952-856-2646,,,44.7423069,-93.2807229,
originalpancakehouse.com,Eden Prairie,549 Prairie Center Drive,Eden Prairie,Minnesota,55344,US,,952-224-9440,,,44.85011189999999,-93.4262739,
originalpancakehouse.com,Edina,3501 West 70<sup>th</sup> Street,Edina,Minnesota,55435,US,,952-920-4444,,,44.8756911,-93.3256078,
originalpancakehouse.com,Maple Grove,6322 Vinewood Lane,Maple Grove,Minnesota,55311,US,,763-383-0888,,,45.0692872,-93.4485461,
originalpancakehouse.com,Minnetonka,17790 Highway 7,Minnetonka,Minnesota,55345,US,,952-658-8750,,,44.9143434,-93.5058183,
originalpancakehouse.com,Plymouth,1415 CR101,Plymouth,Minnesota,55447,US,,952-475-9151,,,44.9943448,-93.5028842,
originalpancakehouse.com,Roseville,1661 West County Rd B2,Roseville,Minnesota,55113,US,,651-493-1222,,,45.0162493,-93.1706165,
originalpancakehouse.com,Charlotte,915 Charlottetowne Avenue,Charlotte,Carolina,28204,US,,704-372-7099,,,35.2134873,-80.832526,
originalpancakehouse.com,Charlotte,4736 Sharon Road,Charlotte,Carolina,28210,US,,704-553-8364,,,35.1481953,-80.83335369999999,
originalpancakehouse.com,Aventura,21215 Biscayne Blvd.,Aventura,Florida,33180,US,,305-933-1966,,,25.972279,-80.142524,
originalpancakehouse.com,Coral Springs,10599 W. Atlantic Blvd.,Coral Springs,Florida,33434,US,,561-470-4880,,,26.2418308,-80.26744699999999,
originalpancakehouse.com,Delray Beach,1840 South Federal Hwy,Delray Beach,Florida,33071,US,,954-255-8080,,,26.4382374,-80.0724104,
originalpancakehouse.com,Fort Lauderdale,2851 N. Federal Hwy.,Fort Lauderdale,Florida,33483,US,,561-276-0769,,,26.1631618,-80.1162284,
originalpancakehouse.com,Naples,7941 Airport Pulling Road,Naples,Florida,33304,US,,954-564-8881,,,26.2412293,-81.7695839,
originalpancakehouse.com,West Boynton Beach,7720 Boynton Beach Blvd.,Boynton Beach,FL,34957,US,,772-232-7096,,,26.5272824,-80.16807,
originalpancakehouse.com,Atlanta,2321 Cheshire Bridge Road,Atlanta,Georgia,30004,US,,678-393-1355,,,33.8182708,-84.3502178,
originalpancakehouse.com,Honolulu,1414 Dillingham Blvd.,Honolulu,Hawaii,96817,US,,808-847-1496,,,21.3242811,-157.8758841,
originalpancakehouse.com,Honolulu,1221 Kapiolani Blvd.,Honolulu,Hawaii,96814,US,,808-596-8213,,,21.295035,-157.8476406,
originalpancakehouse.com,Fort Collins,"2909 E. Harmony Road, Suite 140",Fort Collins,Colorado,80111,US,,303-224-0093,,,40.5227098,-105.0229414,
originalpancakehouse.com,Scottsdale,6840 East Camelback Road,Scottsdale,Arizona,85251,US,,480-946-4902,,,33.5025411,-111.9330128,
originalpancakehouse.com,Bend,1025 Donovan S.W.,Bend,Oregon,97702,US,,541-317-0380,,,44.0423531,-121.3303833,
originalpancakehouse.com,Eugene,782 East Broadway Ave.,Eugene,Oregon,97401,US,,541-343-7523,,,44.0495304,-123.080638,
originalpancakehouse.com,Redmond,3030 SW 6th Street,Redmond,Oregon,97219,US,,503-246-9007,,,44.2487265,-121.1729807,
originalpancakehouse.com,Sioux Falls,2713 West 41st Street,Sioux Falls,Dakota,57105,US,,605-271-7222,,,43.5144049,-96.7592033,
