locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
redroof.com,HomeTowne Studios & Suites Bentonville,200 SW Suburban Drive,Bentonville,AR,72712,US,hts1072,(479) 268-4400,Red Roof Inn,,36.33777300000001,-94.2125535,
redroof.com,HomeTowne Studios Phoenix - West,4861 W. McDowell Road,Phoenix,AZ,85035,US,hts1029,(602) 272-8571,Red Roof Inn,,33.4652075,-112.1650506,
redroof.com,HomeTowne Studios Phoenix - Dunlap Ave,2102 W. Dunlap Ave,Phoenix,AZ,85021,US,hts1055,(602) 944-7828,Red Roof Inn,,33.56833659999999,-112.1043024,
redroof.com,HomeTowne Studios Phoenix - Black Canyon Highway,11211 N Black Canyon Highway,Phoenix,AZ,85029,US,hts1059,602-870-2999,Red Roof Inn,,33.588293,-112.115869,
redroof.com,HomeTowne Studios Fresno - West,3460 West Shaw Avenue,Fresno,CA,93711,US,hts1054,(559) 277-8700,Red Roof Inn,,36.810354,-119.8547156,
redroof.com,HomeTowne Studios Rancho Cordova,11299 Point East Drive,Rancho Cordova,CA,95742,US,hts1020,(916) 859-0280,Red Roof Inn,,38.60997589999999,-121.2658108,
redroof.com,HomeTowne Studios Denver - Airport/ Aurora,3705 N Chambers Road,Aurora,CO,80011,US,hts1053,(303) 307-1088,Red Roof Inn,,39.7673615,-104.8107615,
redroof.com,HomeTowne Studios Colorado Springs - Airport,3490 Afternoon Circle,Colorado Springs,CO,80910,US,hts1051,(719) 638-9233,Red Roof Inn,,38.815481,-104.7617108,
redroof.com,HomeTowne Studios Denver - Glendale/ Cherry Creek,4850 Leetsdale Drive,Glendale,CO,80246,US,hts1030,(303) 333-2545,Red Roof Inn,,39.7081095,-104.9309002,
redroof.com,HomeTowne Studios Denver - Lakewood West,715 Kipling St,Lakewood,CO,80215,US,hts1092,(303) 275-0840,Red Roof Inn,,39.7283671,-105.1105924,
redroof.com,HomeTowne Studios Denver - Thornton,8750 Grant St,Thornton,CO,80229,US,hts1052,(303) 430-4474,Red Roof Inn,,39.85552620000001,-104.9831072,
redroof.com,HomeTowne Studios Orlando - Casselberry,210 North Oxford Rd,Casselberry,FL,32707,US,hts1067,(407) 265-7699,Red Roof Inn,,28.6599447,-81.337492,
redroof.com,HomeTowne Studios Fort Lauderdale,3031 W Commercial Blvd,Fort Lauderdale,FL,33309,US,hts1036,(954) 484-5115,Red Roof Inn,,26.1874422,-80.18606799999999,
redroof.com,HomeTowne Studios Orlando - UCF Area,12350 E Colonial Drive,Orlando,FL,32826,US,hts1038,(407) 282-7112,Red Roof Inn,,28.564527,-81.1959778,
redroof.com,HomeTowne Studios Orlando South,9435 Delegates Dr,Orlando,FL,32837,US,hts1085,(407) 251-1110,Red Roof Inn,,28.4290047,-81.4085377,
redroof.com,HomeTowne Studios Atlanta - Chamblee,2050 Peachtree Industrial Court,Chamblee,GA,30341,US,hts1068,(770) 234-9005,Red Roof Inn,,33.9000501,-84.2982717,
redroof.com,"HomeTowne Studios Covington, GA",9161 City Pond Road,Covington,GA,30014,US,hts1064,(678) 625-1000,Red Roof Inn,,33.6168884,-83.8462658,
redroof.com,"HomeTowne Studios Gainesville, GA",1115 Jesse Jewell Pkwy SW,Gainesville,GA,30501,US,hts1063,(770) 533-9433,Red Roof Inn,,34.2880925,-83.8353286,
redroof.com,HomeTowne Studios Atlanta - Lawrenceville,474 W  Pike St,Lawrenceville,GA,30045,US,hts1034,(770) 962-5660,Red Roof Inn,,33.960572,-84.00670699999999,
redroof.com,HomeTowne Studios Atlanta NE - Norcross South,6295 Jimmy Carter Blvd,Norcross,GA,30071,US,hts1032,(770) 446-9245,Red Roof Inn,,33.9303166,-84.2197894,
redroof.com,HomeTowne Studios Atlanta NE - Downtown Norcross,200 Lawrenceville Street NW,Norcross,GA,30071,US,hts1033,(770) 729-8100,Red Roof Inn,,33.9428462,-84.20925410000001,
redroof.com,HomeTowne Studios Atlanta NE - Peachtree Corners,7049 Jimmy Carter Blvd,Norcross,GA,30092,US,hts1056,(770) 449-9966,Red Roof Inn,,33.9470478,-84.23870509999999,
redroof.com,"HomeTowne Studios & Suites St Louis - O Fallon, IL",148 Regency Park,OFallon,IL,62269,US,hts1071,(618) 589-3696,Red Roof Inn,,38.5876427,-89.9386804,
redroof.com,HomeTowne Studios Chicago - Waukegan,1177 S. Northpoint Blvd,Waukegan,IL,60085,US,hts1026,(847) 688-0402,Red Roof Inn,,42.3382118,-87.88715409999999,
redroof.com,HomeTowne Studios Louisville,4540 Taylorsville Road,Louisville,KY,40220,US,hts1062,(502) 499-9100,Red Roof Inn,,38.2179039,-85.5995456,
redroof.com,HomeTowne Studios Baton Rouge  Sherwood Forest,11140 Boardwalk Drive,Baton Rouge,LA,70816,US,hts1039,(225) 274-8997,Red Roof Inn,,30.4308513,-91.0598855,
redroof.com,HomeTowne Studios Lake Charles - Sulphur,104 Mallard Road,Sulphur,LA,70665,US,hts1031,(337) 625-5923,Red Roof Inn,,30.2149102,-93.3285429,
redroof.com,HomeTowne Studios Detroit - Livonia,11808 Middlebelt Rd,Livonia,MI,48150,US,hts1022,(734) 458-8180,Red Roof Inn,,42.37207129999999,-83.3315521,
redroof.com,HomeTowne Studios St. Louis - Airport/ N Lindbergh,6065 N. Lindbergh Boulevard,Hazelwood,MO,63042,US,hts1025,(314) 731-2991,Red Roof Inn,,38.7704786,-90.3662662,
redroof.com,"HomeTowne Studios Kansas City - Independence, MO",14800 E. 42nd Street,Independence,MO,64055,US,hts1024,(816) 350-2151,Red Roof Inn,,39.0448388,-94.405872,
redroof.com,HomeTowne Studios Kansas City - Worlds of Fun,4301 N Corrington  Ave,Kansas City,MO,64117,US,hts1045,(816)-413-0060,Red Roof Inn,,39.1720179,-94.49434219999999,
redroof.com,HomeTowne Studios & Suites Charlotte - Concord,7725 Sossaman Lane,Concord,NC,28027,US,hts1066,(704) 979-5555,Red Roof Inn,,35.3640715,-80.71000889999999,
redroof.com,HomeTowne Studios Raleigh  Durham,5008 NC Highway 55,Durham,NC,27713,US,hts1037,(919) 484-1878,Red Roof Inn,,35.8965474,-78.8981901,
redroof.com,HomeTowne Studios Winston-Salem - University Pkwy,7910 N. Point Blvd,Winston-Salem,NC,27106,US,hts1035,(336) 759-7780,Red Roof Inn,,36.1515622,-80.274316,
redroof.com,"HomeTowne Studios Philadelphia - Maple Shade, NJ",2868 NJ 73 North,Maple Shade,NJ,08052,US,hts1021,(856) 787-1161,Red Roof Inn,,39.9447673,-74.97809219999999,
redroof.com,HomeTowne Studios Columbus,6275 Quarter Horse Drive,Columbus,OH,43229,US,hts1060,(614) 841-0002,Red Roof Inn,,40.0944586,-82.9875347,
redroof.com,HomeTowne Studios Cincinnati - Sharonville,11457 Chester Road,Sharonville,OH,45246,US,hts1023,(513) 771-7829,Red Roof Inn,,39.2817684,-84.44466589999999,
redroof.com,"HomeTowne Studios Salem, OR",3535 Fisher Road NE,Salem,OR,97305,US,hts1047,(503) 363-7557,Red Roof Inn,,44.9707059,-122.9890594,
redroof.com,HomeTowne Studios Eugene - Springfield,520 Harlow Rd,Springfield,OR,97477,US,hts1028,(541) 741-3908,Red Roof Inn,,44.0715632,-123.0339968,
redroof.com,HomeTowne Studios & Suites Columbia,350 Columbiana Drive,Columbia,SC,29212,US,hts1070,(803) 781-9391,Red Roof Inn,,34.0841032,-81.1603318,
redroof.com,HomeTowne Studios Spartanburg - Asheville Highway,130 Mobile Drive,Spartanburg,SC,29303,US,hts1018,(864) 573-5949,Red Roof Inn,,34.9847751,-81.9698882,
redroof.com,HomeTowne Studios Nashville - Airport/ Briley Pkwy,1210 Murfreesboro Rd,Nashville,TN,37217,US,hts1019,(615) 366-0559,Red Roof Inn,,36.0149584,-86.5560692,
redroof.com,HomeTowne Studios Austin,12621 Hymeadow Drive,Austin,TX,78729,US,hts1043,(512) 331-4747,Red Roof Inn,,30.45774239999999,-97.79036339999999,
redroof.com,HomeTowne Studios Dallas - North Addison/ Tollway,17425 Dallas Parkway,Dallas,TX,75287,US,hts1057,(972) 447-1800,Red Roof Inn,,32.9875436,-96.829444,
redroof.com,HomeTowne Studios Dallas - Fort Worth,3804 Tanacross Dr,Fort Worth,TX,76137,US,hts1046,(817) 838-3500,Red Roof Inn,,32.836356,-97.29205379999999,
redroof.com,HomeTowne Studios Houston - Northwest,5959 Guhn Road,Houston,TX,77040,US,hts1040,(713) 934-7600,Red Roof Inn,,29.85319969999999,-95.5158455,
redroof.com,HomeTowne Studios Houston - West Oaks,2130 Highway 6,Houston,TX,77077,US,hts1041,(281) 759-2000,Red Roof Inn,,29.7432805,-95.64465720000001,
