locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
ryans.com,Ryans,2301 S MCKENZIE STREET,FOLEY,AL,36535,US,,(251) 971-1121,,,30.3806427,-87.6825605,
ryans.com,Old Country Buffet,17125 NORTH 79TH AVENUE,GLENDALE,AZ,85308,US,,(623) 979-5963,,,33.6397654,112.2288511,
ryans.com,Old Country Buffet,6625 EAST SOUTHERN AVENUE,MESA,AZ,85206,US,,(480) 985-3006,,,33.3932809,111.6890876,
ryans.com,Old Country Buffet,9620 METRO PKWY W.,PHOENIX,AZ,85051,US,,(602) 371-0977,,,33.5734902,112.1279528,
ryans.com,Home Town Buffet,4221 SOUTH H STREET,BAKERSFIELD,CA,93304,US,,(661) 397-9363,,,119.0238926,35.3161536,
ryans.com,Home Town Buffet,6257 ATLANTIC,AVENUE BELL,CA,90201,US,,(323) 771-9091,,,33.9802542,118.1896404,
ryans.com,Home Town Buffet,1850 W EMPIRE AVE,BURBANK,CA,91504,US,,(818) 955-5797,,,34.1909563,34.1909519,
ryans.com,Home Town Buffet,651 PALOMAR STREET,CHULA VISTA,CA,91911,US,,(619) 426-0505,,,32.6042556,32.6042511,
ryans.com,Home Town Buffet,390 N MCKINLEY ST,CORONA,CA,92879,US,,(951) 273-0573,,,33.8850773,117.5234071,
ryans.com,Home Town Buffet,1318 NORTH AZUSA AVENUE,COVINA,CA,91722,US,,(626) 915-6066,,,34.1033662,117.9080541,
ryans.com,Home Town Buffet,8432 FIRESTONE BOULEVARD,DOWNEY,CA,90241,US,,(562) 861-5067,,,33.9379902,118.1331595,
ryans.com,Home Town Buffet,1315 GATEWAY BLVD,FAIRFIELD,CA,94533,US,,(707) 428-6000,,,38.2642803,122.0537004,
ryans.com,Home Town Buffet,3617 W SHAW AVENUE,FRESNO,CA,93711,US,,(559) 271-1927,,,36.8072623,119.8610867,
ryans.com,Home Town Buffet,3744 N BLACKSTONE AVE,FRESNO,CA,93726,US,,(559) 221-0444,,,36.7860013,119.7913323,
ryans.com,Home Town Buffet,9635 CHAPMAN AVENUE,GARDEN GROVE,CA,92841,US,,(714) 636-7550,,,117.9670005,33.7900336,
ryans.com,Home Town Buffet,704 SOUTHLAND MALL,HAYWARD,CA,94545,US,,(510) 782-1200,,,37.6503781,122.1043429,
ryans.com,Home Town Buffet,3041 WEST FLORIDA AVENUE,HEMET,CA,92545,US,,(951) 652-0282,,,33.7473545,117.0064778,
ryans.com,Home Town Buffet,4700 CANDLEWOOD ST,LAKEWOOD,CA,90712,US,,(562) 633-8874,,,33.8536244,118.1399579,
ryans.com,Home Town Buffet,24990 REDLANDS BOULEVARD,LOMA LINDA,CA,92354,US,,(909) 796-6588,,,34.0630643,34.0630599,
ryans.com,Home Town Buffet,875-877 NORTH WILCOX AVENUE,MONTEBELLO,CA,90640,US,,(323) 888-1181,,,34.0314998,118.1277198,
ryans.com,Home Town Buffet,72-513C HIGHWAY 111,PALM DESERT,CA,92260,US,,(760) 341-6653,,,33.7256405,116.4035106,
ryans.com,Home Town Buffet,1380 CHURN CREEK RD,REDDING,CA,96003,US,,(530) 224-1711,,,40.5865303,122.3550656,
ryans.com,Home Town Buffet,127 WEST VALLEY BOULEVARD,RIALTO,CA,92376,US,,(909) 421-9688,,,34.0699533,117.3734086,
ryans.com,Home Town Buffet,930 DENNERY ROAD,SAN DIEGO,CA,92154,US,,(619) 662-9181,,,32.5772278,117.0380099,
ryans.com,Home Town Buffet,408 NORTH CAPITOL AVENUE,SAN JOSE,CA,95133,US,,(408) 254-7740,,,37.3723662,121.8472891,
ryans.com,Home Town Buffet,1008 EAST 17TH STREET,SANTA ANA,CA,92701,US,,(714) 541-3020,,,33.7592131,117.8587823,
ryans.com,Home Town Buffet,1431 SOUTH BRADLEY ROAD,SANTA MARIA,CA,93454,US,,(805) 352-0111,,,34.9345682,120.4219692,
ryans.com,Home Town Buffet,1025 WEST ROBINHOOD DRIVE,STOCKTON,CA,95207,US,,(209) 952-6688,,,38.0002708,121.3208341,
ryans.com,Home Town Buffet,3520 W CARSON ST,TORRANCE,CA,90503,US,,(310) 921-6546,,,33.8302564,118.3496387,
ryans.com,Home Town Buffet,1665 COUNTRYSIDE DR,TURLOCK,CA,95382,US,,(209) 668-2172,,,37.5081318,120.8793878,
ryans.com,Home Town Buffet,7868 VAN NUYS BOULEVARD,VAN NUYS,CA,91402,US,,(818) 787-6007,,,118.4498553,34.2140796,
ryans.com,Home Town Buffet,1804 SOUTH MOONEY BOULEVARD,VISALIA,CA,93277,US,,(559) 733-3660,,,119.3154707,36.3146557,
ryans.com,Home Town Buffet,8629 SOUTH SEPULVEDA BLVD,WESTCHESTER,CA,90045,US,,(310) 216-9208,,,33.9588644,118.3988557,
ryans.com,Country Buffet,801 N ACADEMY BLVD,COLORADO SPRINGS,CO,80909,US,,(719) 574-1445,,,38.8445225,104.7574583,
ryans.com,Old Country Buffet,1325 NEW CHURCHMANS ROAD,NEWARK,DE,19713,US,,(302) 738-2292,,,39.6918395,39.6918354,
ryans.com,Ryans,4955 HWY 90,PACE,FL,32571,US,,(850) 994-9966,,,30.6027346,-87.1195067,
ryans.com,Ryans,243 STEVEN B TANGER BLVD,COMMERCE,GA,30529,US,,(706) 610-0869,,,34.2538762,34.2538718,
ryans.com,Ryans,2305 SHORTER AVE SW,ROME,GA,30165,US,,(706)234-7973,,,34.2711287,-85.2332506,
ryans.com,Ryans,2330 MEMORIAL DRIVE,WAYCROSS,GA,31501,US,,(912) 338-9562,,,31.1959251,-82.3251379,
ryans.com,Old Country Buffet,6560 WEST FULLERTON AVENUE,CHICAGO,IL,60707,US,,(773) 745-7025,,,41.9250937,41.9250897,
ryans.com,Ryans,4615 BROADWAY ST,MOUNT VERNON,IL,62864,US,,(618) 244-4491,,,38.3114176,-88.9618063,
ryans.com,Ryans,1920 MEL BROWNING STREET,BOWLING GREEN,KY,42104,US,,(270) 843-1439,,,36.9300865,-86.4222704,
ryans.com,Old Country Buffet,4695 BAY ROAD,SAGINAW,MI,48604,US,,(989) 790-6522,,,43.4757518,-83.9798918,
ryans.com,Ryans,232 FRONTAGE ROAD,PICAYUNE,MS,39466,US,,(601) 799-5995,,,30.5168806,-89.6610133,
ryans.com,Old Country Buffet,4401 TRANSIT RD,BUFFALO,NY,14221,US,,(716) 634-1893,,,42.9665754,-78.6958762,
ryans.com,Old Country Buffet,821 COUNTY ROUTE 64,ELMIRA,NY,14903,US,,(607) 796-6369,,,-76.8865079,-76.8843192,
ryans.com,Ryans,1000 BREVARD RD,ASHEVILLE,NC,28806,US,,(828) 665-9963,,,35.5250751,-82.6078456,
ryans.com,Home Town Buffet,5259 AIRPORT HIGHWAY,TOLEDO,OH,43615,US,,(419) 382-9794,,,41.6154592,-83.6699574,
ryans.com,Home Town Buffet,3790 SW HALL BOULEVARD,BEAVERTON,OR,97005,US,,(503) 627-0336,,,45.4924298,45.4924261,
ryans.com,Home Town Buffet,1299 CENTER DRIVE,MEDFORD,OR,97501,US,,(541) 770-6779,,,42.3153326,122.8595839,
ryans.com,Home Town Buffet,10542-A SE WASHINGTON ST,PORTLAND,OR,97216,US,,(503) 252-0741,,,45.5168595,122.5558709,
ryans.com,Home Town Buffet,636 LANCASTER DRIVE NE,SALEM,OR,97301,US,,(503) 585-8163,,,44.9384091,44.9384053,
ryans.com,Home Town Buffet,3000 GATEWAY STREET,SPRINGFIELD,OR,97477,US,,(541) 746-3220,,,44.0738525,123.0474842,
ryans.com,Old Country Buffet,5083 JONESTOWN ROAD,HARRISBURG,PA,17112,US,,(717) 657-6290,,,40.3080825,-76.8050203,
ryans.com,Old Country Buffet,1245 WHITEHALL MALL,WHITEHALL,PA,18052,US,,(610) 298-5650,,,40.6341424,40.6342774,
ryans.com,Old Country Buffet,905 LOUCKS ROAD,YORK,PA,17404,US,,(717) 846-6330,,,39.9811563,-76.7555302,
ryans.com,Ryans,3607 HWY 17 S,NORTH MYRTLE BEACH,SC,29582,US,,(843) 272-1051,,,33.8027203,-78.7272414,
ryans.com,Ryans,1314 N MAIN STREET,SUMMERVILLE,SC,29483,US,,(843) 871-7600,,,33.0371764,-80.1580621,
ryans.com,Ryans,2151 GALLATIN PIKE NORTH,MADISON,TN,37115,US,,(615) 859-2185,,,36.3036061,-86.6917555,
ryans.com,Old Country Buffet,2942 PRINCE WILLIAM PARKWAY,WOODBRIDGE,VA,22192,US,,(703) 670-6810,,,38.6524074,-77.3031925,
ryans.com,Old Country Buffet,1816 SOUTH 320TH STREET,FEDERAL WAY,WA,98003,US,,(253) 839-9207,,,47.3168502,122.3123124,
ryans.com,Old Country Buffet,6821 W CANAL DR,KENNEWICK,WA,99337,US,,(509) 735-9887,,,46.2263184,119.2154594,
ryans.com,Old Country Buffet,5815 LAKEWOOD TOWNE CENTER BLVD SW,TACOMA,WA,98499,US,,(253) 584-0220,,,47.1654008,122.5173269,
ryans.com,Old Country Buffet,2513 MAIN STREET,UNION GAP,WA,98903,US,,(509) 457-8597,,,46.5658679,120.4842002,
ryans.com,Ryans,103 RHL BLVD,CHARLESTON,WV,25303,US,,(304) 744-5382,,,38.3298981,-81.7147087,
ryans.com,Ryans,519 EMILY DRIVE,CLARKSBURG,WV,26301,US,,(304) 623-9949,,,39.2675198,-80.2894064,
ryans.com,Ryans,195 GREASY RIDGE RD,PRINCETON,WV,24740,US,,(304) 487-0580,,,37.3618802,-81.0480489,
ryans.com,Old Country Buffet,2613 E CLAIREMONT AVE,EAU CLAIRE,WI,54701,US,,(715) 834-7747,,,44.7940492,-91.4662056,
ryans.com,Old Country Buffet,4902 SOUTH 74TH STREET,GREENFIELD,WI,53220,US,,(414) 282-8431,,,42.9557159,-88.0068353,
ryans.com,Home Town Buffet,2900 DEERFIELD DR,JANESVILLE,WI,53545,US,,(608) 752-3242,,,-88.9794417,42.7187328,
