locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
shopversona.com,,455 The Bridge Street NW (next to Belk),Huntsville,AL,35806,US,,256-922-8607,,,34.718721,-86.673124,
shopversona.com,,3245 Bel Air Mall (near main entrance),Mobile,AL,36606,US,,251-478-0090,,,30.671264,-88.121499,
shopversona.com,,7232 Eastchase Parkway (next to DSW Shoes),Montgomery,AL,36117,US,,334-260-6102,,,32.362621,-86.174803,
shopversona.com,,207 North University Avenue,Little Rock,AR,72205,US,,501-280-0197,,,34.752434,-92.340281,
shopversona.com,,2203 Promenade Boulevard (near Dillard`s),Rogers,AR,72758,US,,479-631-8878,,,36.30316,-94.176895,
shopversona.com,,4866 Big Island Drive (near Nordstrom Rack),Jacksonville,FL,32246,US,,904-641-5511,,,30.251739,-81.533772,
shopversona.com,,1424-1432 Town Center Drive (near Belk),Lakeland,FL,33803,US,,863-688-9307,,,28.001326,-81.977556,
shopversona.com,,10001 West Flagler Street (near Target),Miami,FL,10001,US,,305-551-0809,,,25.769146,-80.360626,
shopversona.com,,1855 Palm Beach Lakes Boulevard (next to Ulta),West Palm Beach,FL,33401,US,,561-640-0320,,,26.7252,-80.0894,
shopversona.com,,606 North Orlando Avenue (next to Starbucks),Winter Park,FL,32789,US,,407-622-0270,,,28.601941,-81.363009,
shopversona.com,,7300 North Point Parkway,Alpharetta,GA,30022,US,,770-521-0284,,,34.043848,-84.302067,
shopversona.com,,1791 Oconee Connector (next to Lane Bryant),Athens,GA,30606,US,,706-353-1215,,,33.91614,-83.45511,
shopversona.com,,1462-A Dogwood Drive (next to Belk),Conyers,GA,30013,US,,770-922-8025,,,33.647797,-83.992447,
shopversona.com,,4475 Upper Roswell Road (near Bed Bath & Beyond),Marietta,GA,[],US,,770-973-3378,,,,,
shopversona.com,,200 Line Creek Drive (Next to Ulta),Peachtree City,GA,30269,US,,678-364-6688,,,33.395763,-84.601072,
shopversona.com,,5001 Sergeant Road (near Kohl`s),Sioux City,IA,51106,US,,712-274-4656,,,42.447192,-96.34141,
shopversona.com,,320 South Jordan Creek Parkway (next to Home Goods),West Des Moines,IA,50266,US,,515-221-8956,,,41.565365,-93.807656,
shopversona.com,,6601 East Lloyd Expressway (next to Ulta),Evansville,IN,47715,US,,812-437-8826,,,37.975612,-87.473276,
shopversona.com,,14631 West 119th Street (near Marshall`s),Olathe,KS,14631,US,,913-829-1116,,,38.915154,-94.762535,
shopversona.com,,2441 North Maize Road (near Ulta),Wichita,KS,67205,US,,316-721-1747,,,37.730307,-97.465871,
shopversona.com,,4220 Summit Plaza Drive (next to Banana Republic),Louisville,KY,40241,US,,502-339-4740,,,38.309076,-85.578279,
shopversona.com,,3437 Masonic Drive (across from Ulta),Alexandria,LA,71301,US,,318-561-4270,,,31.2778,-92.4611,
shopversona.com,,6401 Bluebonnet Boulevard (across from Apple Store),Baton Rouge,LA,70836,US,,225-757-1239,,,30.39025,-91.088385,
shopversona.com,,2816 Beene Boulevard (next to Michael`s),Bossier City,LA,71111,US,,318-746-8810,,,32.561031,-93.708402,
shopversona.com,,220 Town Center Parkway,Slidell,LA,70458,US,,985-643-0040,,,30.282642,-89.746812,
shopversona.com,,"609 Branson Landing (on the north end, near Belk)",Branson,MO,65616,US,,417-239-3366,,,36.629468,-93.228844,
shopversona.com,,6562 Towne Center Crossing (next to Ulta),Southaven,MS,38671,US,,662-349-3707,,,34.956615,-89.994496,
shopversona.com,,4 South Tunnel Road (next to DSW),Asheville,NC,28805,US,,828-298-0994,,,35.582961,-82.523513,
shopversona.com,,8124 Providence Road (near Michael`s),Charlotte,NC,28277,US,,704-541-4105,,,35.097699,-80.782683,
shopversona.com,,13450 Hoover Creek Boulevard (next to Pier 1),Charlotte,NC,13450,US,,704-588-1216,,,35.098157,-80.988828,
shopversona.com,,8161 Brier Creek Parkway (next to Michael`s),Raleigh,NC,27617,US,,919-248-0901,,,35.907723,-78.783474,
shopversona.com,,7211 SE 29th Street (next to Ulta),Midwest City,OK,73110,US,,405-732-0736,,,35.43595,-97.396999,
shopversona.com,,"1600 24th Avenue, NW (next to Ulta)",Norman,OK,73069,US,,405-364-1838,,,35.237842,-97.483222,
shopversona.com,,6413 SW 3rd Street (next to Ulta),Oklahoma City,OK,73128,US,,405-789-0896,,,35.46311,-97.62568,
shopversona.com,,8624 East 71st Street (near Nordstrom Rack),Tulsa,OK,74133,US,,918-250-6160,,,36.059918,-95.883889,
shopversona.com,,7522 South Olympia Avenue (near Michael`s),Tulsa,OK,74132,US,,918-445-4996,,,36.054617,-96.002981,
shopversona.com,,20111 Route 19 (next to Home Goods),Cranberry Township,PA,20111,US,,724-741-0419,,,40.681747,-80.103292,
shopversona.com,,660 Promenade Place (near Belk),Columbia,SC,29229,US,,803-736-1210,,,34.12734,-80.87308,
shopversona.com,,1748 Towne Centre Way (next to Bed Bath & Beyond),Mount Pleasant,SC,[],US,,843-856-2106,,,,,
shopversona.com,,1550 Highway 17 North (next to Ross),North Myrtle Beach,SC,29582,US,,843-249-3307,,,33.84304,-78.6589,
shopversona.com,,460 Pinnacle Parkway (near Belk),Bristol,TN,37620,US,,423-652-0649,,,36.59409,-82.259738,
shopversona.com,,2900 South Soncy Road (near Ulta),Amarillo,TX,79124,US,,806-355-1411,,,35.182222,-101.940053,
shopversona.com,,6155 Eastex Freeway (next to Ulta),Beaumont,TX,77706,US,,409-892-1148,,,30.125892,-94.162236,
shopversona.com,,7775 North MacArthur Boulevard (near Ulta),Irving,TX,75063,US,,972-556-2007,,,32.910938,-96.961786,
shopversona.com,,2900 West Loop 250 North,Midland,TX,79705,US,,432-689-2143,,,32.036277,-102.124,
shopversona.com,,6357 East Highway 191 (near Marshalls),Odessa,TX,79762,US,,432-366-0815,,,31.899671,-102.313308,
shopversona.com,,1053 East IH 30 (next to Home Goods),Rockwall,TX,75087,US,,972-722-5861,,,32.90391,-96.45168,
shopversona.com,,4175 Sunset Drive (next to Bed Bath & Beyond),San Angelo,TX,[],US,,325-949-3905,,,,,
shopversona.com,,11745 Interstate 10 West (next to Victoria`s Secret),San Antonio,TX,11745,US,,210-877-5139,,,29.550421,-98.583298,
shopversona.com,,7400 San Pedro Avenue (near Macy`s),San Antonio,TX,78216,US,,210-366-5031,,,29.518339,-98.496309,
shopversona.com,,8942 South Broadway Avenue (near TJ Maxx),Tyler,TX,75705,US,,903-534-3875,,,32.251463,-95.305952,
shopversona.com,,12551 Jefferson Avenue  (next to Trader Joe`s),Newport News,VA,12551,US,,757-877-1605,,,37.129039,-76.516793,
shopversona.com,,11800 West Broad Street (next to Dillard`s),Richmond,VA,11800,US,,804-364-8902,,,37.656668,-77.620544,
shopversona.com,,4802 Valley View Boulevard (next to Old Navy),Roanoke,VA,24012,US,,540-362-0190,,,37.303949,-79.963621,
shopversona.com,,11500 West Burleigh Street (next to DSW),Wauwatosa,WI,11500,US,,414-443-0876,,,43.075237,-88.059927,
