locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
whywaitintheer.com,"ExpressCare - Eden Hill - Dover, Delaware",200 Banning Street Suite 170,Dover,DE,19904,US,,302-674-1999,,,,,
whywaitintheer.com,"ExpressCare - Smyrna - Smyrna, Delaware",300 Jimmy Drive,Smyrna,DE,19977,US,,302-389-6631,,,,,
whywaitintheer.com,"ExpressCare - Bear, New Castle County, Delaware",1011 E. Songsmith Dr.,Bear,DE,19701,US,,302-918-7509,,,,,
whywaitintheer.com,"ExpressCare - Middletown, New Castle County, Delaware",749 Middletown Warwick Road,Middletown,Delaware,19709,US,,302-378-1621,,,,,
whywaitintheer.com,"ExpressCare - Brooklyn Park, Anne Arundel County, Maryland",5400 Ritchie Hwy.,Brooklyn Park,MD,21225,US,,443-457-6694,,,,,
whywaitintheer.com,"ExpressCare - Severna Park, Anne Arundel County, Maryland",153 Ritchie Highway,Severna Park,MD,21146,US,,410-544-0571,,,,,
whywaitintheer.com,,2400 Cylburn Ave. Suite A,Baltimore,MD,21215,US,,410-617-8420,,,,,
whywaitintheer.com,ExpressCare - Wilkens Avenue,3815 Wilkens Avenue,Baltimore,MD,21229,US,,667-212-5920,,,,,
whywaitintheer.com,"ExpressCare - Dundalk, Baltimore County, Maryland",1307 Merritt Blvd.,Dundalk,MD,21222,US,,410-288-2121,,,,,
whywaitintheer.com,"ExpressCare - Essex, Baltimore County, Maryland",Middlesex Shopping Center 1354 Eastern Blvd.,Essex,Md,21221,US,,443-231-5203,,,,,
whywaitintheer.com,"ExpressCare - Loch Raven, Maryland",8000 Loch Raven Blvd.,Towson,MD,21286,US,,410-616-9027,,,,,
whywaitintheer.com,"ExpressCare - North Point, Baltimore County, Maryland",4009 North Point Blvd.,Dundalk,MD,21222,US,,410-477-1093,,,,,
whywaitintheer.com,ExpressCare - Northwest Hospital,8600 Liberty Road,Randallstown,MD,21133,US,,443-657-7131,,,,,
whywaitintheer.com,"ExpressCare - Middle River, Baltimore County, Maryland",1470 Martin Blvd,Middle River,MD,21220,US,,410-686-4084,,,,,
whywaitintheer.com,"ExpressCare - Overlea, Baltimore County, Maryland",7700 Belair Road,Baltimore,MD,21236,US,,410-665-0670,,,,,
whywaitintheer.com,"ExpressCare - Owings Mills, Baltimore County, Maryland",10490 Owings Mills Blvd.,Owings Mills,MD,21117,US,,410-363-7281,,,,,
whywaitintheer.com,"ExpressCare - Padonia, Baltimore County, Maryland",9832 York Road,Cockeysville,MD,21030,US,,410-628-1861,,,,,
whywaitintheer.com,"ExpressCare - Parkville, Baltimore County, Maryland",7701 Harford Road,Parkville,MD,21234,US,,443-438-5147,,,,,
whywaitintheer.com,"ExpressCare - Eldersburg, Carroll County, Maryland",1311 Londontown Boulevard Suite 130,Eldersburg,MD,21784,US,,410-549-7222,,,,,
whywaitintheer.com,"ExpressCare - Hampstead, Carroll County, Maryland",2327 Hanover Pike,Hampstead,MD,21074,US,,443-507-6035,,,,,
whywaitintheer.com,"ExpressCare - Mt. Airy, Carroll and Frederick County, Maryland",504 E Ridgeville Blvd,Mt Airy,MD,21771,US,,301-703-5452,,,,,
whywaitintheer.com,"ExpressCare - Westminster, Carroll County, Maryland",1011 Baltimore Blvd.,Westminster,MD,21157,US,,410-848-3990,,,,,
whywaitintheer.com,"ExpressCare - Elkton, Cecil County, Maryland",310 E. Pulaski Hwy.,Elkton,MD,21921,US,,443-485-6213,,,,,
whywaitintheer.com,"ExpressCare - North East, Cecil County, Maryland",101 NE Plaza,North East,MD,21901,US,,410-656-7867,,,,,
whywaitintheer.com,"ExpressCare - Bel Air, Harford County, Maryland",1505 E. Churchville Road,Bel Air,MD,21015,US,,410-420-6970,,,,,
whywaitintheer.com,"ExpressCare - Festival at Bel Air, Harford County, Maryland",5 Bel Air South Parkway Suite 1535,Bel Air,MD,21015,US,,410-569-0044,,,,,
whywaitintheer.com,"ExpressCare - Bowie, Prince George's County, Maryland","Bowie, Prince George's County, Maryland 6000 Laurel Bowie Road Bowie, MD 20715",,,,US,,301-383-0330,,,,,
whywaitintheer.com,"ExpressCare - Largo, Upper Marlboro, Maryland",10416 Campus Way South,Upper Marlboro,MD,20774,US,,301-316-9620,,,,,
whywaitintheer.com,"ExpressCare - Salisbury, Maryland",659 S Salisbury Blvd #2,Salisbury,MD,21801,US,,,,,,,
