"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://greendragon.com/","https://greendragon.com/locations/aspen/","Aspen – East Hyman Ave","409 E. Hyman Ave.","Aspen","Colorado","81611","US","<MISSING>","(970) 429-4365","<MISSING>","39.18887","-106.81946","Open Every Day: 9 am – 11:45 pm"
"https://greendragon.com/","https://greendragon.com/locations/aurora-6th-ave/","Aurora – E. 6th Ave.","15225 E. 6th Ave","Aurora","CO","80011","US","<MISSING>","(720) 458-6950","<MISSING>","39.72607","-104.81158","Open Every Day: 8am – 9:45pm"
"https://greendragon.com/","https://greendragon.com/locations/south-aurora-quincy-ave/","Aurora – Quincy Ave","19151 E. Quincy Avenue","Aurora","Colorado","80015","US","<MISSING>","(303) 400-1451","<MISSING>","39.63900","-104.76466","Open Every Day: 8am – 9:45pm"
"https://greendragon.com/","https://greendragon.com/locations/breckenridge/","Breckenridge – Airport Rd.","1795 Airport Road,","Breckenridge","CO","80424","US","<MISSING>","(970) 453-4900","<MISSING>","39.50767","-106.05213","Open Every Day: 8am – 9:45pm"
"https://greendragon.com/","https://greendragon.com/locations/central-denver-byers-pl/","Denver – Byers Pl.","930 W Byers Pl,","Denver","CO","80223","US","<MISSING>","(970) 480-0660","<MISSING>","39.71171","-104.99829","Open Every Day: 9am – 9:45pm"
"https://greendragon.com/","https://greendragon.com/locations/east-denver-colfax-ave/","Denver – Colfax Ave","5130 E Colfax Ave","Denver","CO","80220","US","<MISSING>","(720) 458-6450","<MISSING>","39.73991","-104.92719","Open Every Day: 9am – 9:45pm"
"https://greendragon.com/","https://greendragon.com/locations/west-denver-sheridan-blvd/","Denver – Sheridan Blvd","4103 Sheridan Blvd,","Denver","CO","80212","US","<MISSING>","(720) 458-6650","<MISSING>","39.77311","-105.05361","Open LATE Every Day: 9am – 11:45pm"
"https://greendragon.com/","https://greendragon.com/locations/edgewater/","Edgewater – Sheridan Blvd","2467 Sheridan","Blvd.Edgewater","Colorado","80214","US","<MISSING>","(970) 480-0640","<MISSING>","39.75216","-105.05364","Open LATE Every Day: 8am – 11:45pm"
"https://greendragon.com/","https://greendragon.com/locations/glenwood-springs-devereux-rd/","Glenwood Springs – Devereux Rd.","1420 Devereux Rd.","Glenwood Springs","CO","81601","US","<MISSING>","(970) 230-9057","<MISSING>","<MISSING>","<MISSING>","Open Every Day: 10am – 6:45pm"
"https://greendragon.com/","https://greendragon.com/locations/glenwood-springs-glen-ave/","Glenwood Springs – Glen Ave","2922 S Glen Ave,","Glenwood Springs","CO","81601","US","<MISSING>","(970) 366-4600","<MISSING>","39.52191","-107.32073","Open Every Day: 10am – 6:45pm"
"https://greendragon.com/","https://greendragon.com/locations/telluride-premium-marijuana-dispensary/","Telluride – Colorado Ave","119 W Colorado Ave,","Telluride","CO","81435","US","<MISSING>","(970) 422-1422","<MISSING>","37.93745","-107.81116","Open Every Day: 10am - 10pm"
"https://greendragon.com/","https://greendragon.com/locations/thornton-premium-marijuana-dispensary/","Thornton – 128th Ave.","5823 E 128th Ave,","Thornton","CO","80602","US","<MISSING>","970-480-0685","<MISSING>","39.92883","-104.91962","Open Every Day - 8am - 11:45pm"
