"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Plaza Bonita","3030 Plaza Bonita Rd.","National City","CA","91950","US","<MISSING>","(760) 916-2299","<MISSING>","32.6562124","-117.0658009","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Aventura Gables","20080 W. Dixie Hwy.","Miami","FL","33180","US","<MISSING>","<MISSING>","<MISSING>","25.9609248","-80.1478097","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Folsom CA &#8211; Gas Station (Coming Soon)","301 E Bidwell Street","Folsom","CA","95630","US","<MISSING>","<MISSING>","<MISSING>","38.6739481","-121.1690926","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Danbury Fair Mall"," Backus Ave","Danbury","CT","06810","US","<MISSING>","(203) 790-9595","<MISSING>","41.38074","-73.4813644","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","City Center Paterson","301 Main St","Paterson","NJ","07505","US","<MISSING>","(973) 684-5831","<MISSING>","40.9150079","-74.1720336","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Dulles Town Center","21100 Dulles Town Cir","Sterling","VA","20166","US","<MISSING>","(703) 421-3003","<MISSING>","39.0319087","-77.423461","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Philadelphia Mills","<MISSING>","Philadelphia","PA","19154","US","<MISSING>","<MISSING>","<MISSING>","40.0859771","-74.9627155","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Warwick Mall","400 Bald Hill Rd","Warwick","RI","02886","US","<MISSING>","(401) 681-4887","<MISSING>","41.7252656","-71.4759573","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Willow Grove Park","2500 W Moreland Rd","Willow Grove","PA","19090","US","<MISSING>","<MISSING>","<MISSING>","40.1401243","-75.1234557","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Sawgrass Mills","12801 W Sunrise Blvd","Sunrise","FL","33323","US","<MISSING>","<MISSING>","<MISSING>","26.1496124","-80.3243786","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Bergen Town Center","21 Bergen Town Center","Paramus","NJ","07652","US","<MISSING>","(201) 368-0990","<MISSING>","40.9146428","-74.0575399","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Freehold Raceway Mall","<MISSING>","Freehold","NJ","07728","US","<MISSING>","<MISSING>","<MISSING>","40.2532634","-74.3005713","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Mall of America","122 E Broadway","Bloomington","MN","55425","US","<MISSING>","(952) 858-8539","<MISSING>","44.8547838","-93.2398808","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Glendale Galleria","1317 Galleria Way","Glendale","CA","91210","US","<MISSING>","<MISSING>","<MISSING>","34.1452295","-118.2591182","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Brunswick Square","755 NJ-18","East Brunswick","NJ","08816","US","<MISSING>","(732) 238-8322","<MISSING>","40.4236978","-74.3817316","<MISSING>"
"https://www.streetcorner.com/","https://www.streetcorner.com/consumer/","Sugarloaf Mills","5900 Sugarloaf Pkwy","Lawrenceville","GA","30043","US","<MISSING>","(678) 847-5018","<MISSING>","33.9808749","-84.081781","<MISSING>"
