"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-west-capitol-west-sacramento-california/","Raley’s West Capitol West Sacramento California","1601 West Capitol Ave.","West Sacramento","CA","95691","US","<MISSING>","(916) 372-3000","<MISSING>","38.57990102858187","-121.52966737747192","Store Hours Mon - Fri : 6am - 11pmSat - Sun : 7am - 11pm "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-fernley-nevada/","Raley’s Fernley Nevada","1400 US Highway 95A North","Fernley","NV","89408","US","<MISSING>","<MISSING>","<MISSING>","39.609219","-119.223181","Store Hours Mon - Sun : 6am - 11pm Pharmacy Hours Mon - Fri : 9am - 7pmSat : 9am - 5pmSun : Closed "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-tonopah-nevada/","Raley’s Tonopah Nevada","Hwy 95 Air Force Rd","Tonopah","NV","89049","US","<MISSING>","<MISSING>","<MISSING>","38.059620","-117.218177","Store Hours Mon - Sun : 7am - 9pm Pharmacy Hours Mon - Sun : 10am - 7pm "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-yerington-nevada/","Raley’s Yerington Nevada","176 W Goldfield Ave.","Yerington","NV","89447","US","<MISSING>","<MISSING>","<MISSING>","38.993875","-119.165094","Store Hours Mon - Sun : 6am - 10pm Pharmacy Hours Mon - Fri : 9am - 7pmSat : 9am - 5pmSun : Closed "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-caughlin-reno-nevada/","Raley’s Caughlin Reno Nevada","4788 Caughlin Pkwy.","Reno","NV","89519","US","<MISSING>","<MISSING>","<MISSING>","39.482866","-119.853698","Store Hours Mon - Sun : 6am - 11pm Pharmacy Hours Mon - Fri : 9am - 7pmSat : 9am - 5pmSun : 10am - 5pm "
"https://www.raleys.com/","https://www.raleys.com/stores/nob-hill-foods-monroe-santa-california/","Nob Hill Foods Monroe Santa California","3555 Monroe Street","Santa Clara","CA","95051","US","<MISSING>","(408) 557-0115","<MISSING>","37.3676571","-121.9951039","Store Hours Mon - Sat : 6am - 11pmSun: 6am - 10pm "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-mccarran-reno-nevada/","Raley’s McCarran Reno Nevada","3310 S. McCarran Blvd.","Reno","NV","89502","US","<MISSING>","<MISSING>","<MISSING>","39.484277","-119.746416","Store Hours Mon - Sun : 6am - 11pm "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-sunrise-rancho-cordova-california/","Raley’s Sunrise Rancho Cordova California","4030 Sunrise Blvd","Rancho Cordova","CA","95742","US","<MISSING>","(916) 351-8324","<MISSING>","38.557275","-121.244291","Store Hours Mon - Sun : 6am - 11pm "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-pharmacy/","Raley’s Pharmacy","4047 S. Virginia St.","Reno","NV","89502","US","<MISSING>","<MISSING>","<MISSING>","39.48668339219923","-119.79684770107269","Store Hours Mon - Sun : Closed Pharmacy Hours Mon - Fri : 9am - 8pmSat : 9am - 5pmSun : Closed "
"https://www.raleys.com/","https://www.raleys.com/stores/raleys-mayberry-reno-nevada/","Raley’s Mayberry Reno Nevada","1441 Mayberry Drive","Reno","NV","89509","US","<MISSING>","(775) 786-0270","<MISSING>","39.510054523039","-119.8365980386734","Store Hours Mon - Sun : 7am - 11pm Pharmacy Hours Mon - Fri : 9am - 7pmSat - Sun : 9am - 5pm "
