"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/allen/","J.W. ENTERTAINMENT ALLEN TX","2031 W McDermott Dr","Allen","TX","75013","US","<MISSING>","469-854-6000","<MISSING>","33.09927018078216","-96.73382904855121","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/beaumont/","JUMPING WORLD BEAUMONT TX","2651 S 11th St","Beaumont","TX","77701","US","<MISSING>","409-554-4717","<MISSING>","30.060153159593575","-94.12808017080889","Monday 10am – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/bryan/","JUMPING WORLD BRYAN TX","3143 Wildflower Dr # 1000","Bryan","TX","77802","US","<MISSING>","979-731-1011","<MISSING>","30.662951381571524","-96.32276964926747","Monday 2pm – 10pm
Tuesday 2pm – 10pm
Wednesday 2pm – 10pm
Thursday 2pm – 10pm
Friday 2pm – 11pm
Saturday 10am – 11pm
Sunday 12pm – 9pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/corpus-christi/","JUMPING WORLD CORPUS CHRISTI TX","1601 Flour Bluff Dr","Corpus Christi","TX","78418","US","<MISSING>","361-239-4244","<MISSING>","27.666528633891463","-97.30249278492471","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/garland/","JUMPING WORLD GARLAND TX","4445 Saturn Rd Ste B","Garland","TX","75041","US","<MISSING>","972-682-6700","<MISSING>","32.86273638531004","-96.64843601121063","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/houston-290/","JUMPING WORLD NW HOUSTON TX","14147 Northwest Fwy","Houston","TX","77040","US","<MISSING>","713-996-7811","<MISSING>","29.85914668186152","-95.52885954928628","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/houston-sharpstown/","JUMPING WORLD SW HOUSTON TX","6904 Southwest Fwy A","Houston","TX","77074","US","<MISSING>","713-239-2690","<MISSING>","29.71081824112224","-95.5105708493218","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/kennesaw/","JUMPING WORLD KENNESAW GA","4200 Wade Green Rd # 224","Kennesaw","GA","30144","US","<MISSING>","770-672-7616","<MISSING>","34.05664119469373","-84.5912170739766","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/league-city/","JUMPING WORLD LEAGUE CITY TX","100 Gulf N Fwy","League City","TX","77573","US","<MISSING>","281-724-0760","<MISSING>","29.504004137524763","-95.11322120760845","Monday 11am – 10pm
Tuesday 11am – 10pm
Wednesday 11am – 10pm
Thursday 11am – 10pm
Friday 11am – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/memphis/","JUMPING WORLD MEMPHIS TN","6161 Shelby Oaks Dr","Memphis","TN","38134","US","<MISSING>","901-507-4918","<MISSING>","35.1686498556509","-89.85722142309918","Monday 12pm – 9pm
Tuesday 12pm – 9pm
Wednesday 12pm – 9pm
Thursday 12pm – 9pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 9pm"
"https://jumpingworldusa.com/","https://jumpingworldusa.com/location/pasadena/","JUMPING WORLD PASADENA TX","2222 Spencer Hwy","Pasadena","TX","77504","US","<MISSING>","832-767-4980","<MISSING>","29.662927981934534","-95.2087560492909","Monday 12pm – 10pm
Tuesday 12pm – 10pm
Wednesday 12pm – 10pm
Thursday 12pm – 10pm
Friday 12pm – 12am
Saturday 10am – 12am
Sunday 11am – 10pm"
