"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-acadia","Calgary Acadia - Hearing Centre","103-8330 Fairmount Drive SE","Calgary","Alberta","T2H 0Y8","CA","<MISSING>","1-888-437-8137","<MISSING>","50.9784342","-114.0595053","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-capitol-hill","Calgary Capitol Hill - Hearing Centre   ","206-2004 14 Street NW","Calgary","Alberta","T2M 3N3","CA","<MISSING>","1-888-445-7605","<MISSING>","51.0699835","-114.0944304","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-gulf-canada-square","Calgary Gulf Canada Square - Hearing Centre   ","180-401 9 Avenue SW","Calgary","Alberta","T2P 3C5","CA","<MISSING>","1-888-439-6051","<MISSING>","51.0443882","-114.0687587","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-mission","Calgary Mission - Hearing Centre  ","501-2303 4 Street SW","Calgary","Alberta","T2S 2S7","CA","<MISSING>","1-888-440-0122","<MISSING>","51.0323193","-114.0719715","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday Closed Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-northland","Calgary Northland - Hearing Centre ","4820 Northland Drive NW","Calgary","Alberta","T2L 2L4","CA","<MISSING>","1-888-440-8275","<MISSING>","51.0958026","-114.1407348","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-oakridge-co-op-centre","Calgary Oakridge Co-op Centre - Hearing Centre ","41-2580 Southland Drive SW","Calgary","Alberta","T2V 4J8","CA","<MISSING>","1-855-780-9244 ","<MISSING>","50.962724","-114.120604","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-southwest","Calgary Southwest - Hearing Centre ","210-903 10th Avenue Southwest","Calgary","Alberta","T2R 0B5","CA","<MISSING>","1-855-767-8676 ","<MISSING>","51.044598","-114.107008","Monday Closed Tuesday 8:30am - 4:30pm Wednesday Closed Thursday 8:30am - 4:30pm Friday Closed Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-thorncliffe","Calgary Thorncliffe - Hearing Centre ","10-5440 4th Street NW","Calgary","Alberta","T2K 1A8","CA","<MISSING>","1-888-489-3437","<MISSING>","51.0994401","-114.0709771","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-west-springs","Calgary West Springs - Hearing Centre ","8 Weston Drive SW","Calgary","Alberta","T3H 5P2","CA","<MISSING>","1-888-446-2989","<MISSING>","51.0637672","-114.1945129","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
"hearinglife.ca","https://www.hearinglife.ca/Centers/Alberta/calgary-whitehorn-plaza","Calgary Whitehorn Plaza - Hearing Centre ","2A-4440 44 Avenue NE","Calgary","Alberta","T1Y 4W5","CA","<MISSING>","1-855-778-4707 ","<MISSING>","51.092785","-113.966179","Monday 8:30am - 4:30pm Tuesday 8:30am - 4:30pm Wednesday 8:30am - 4:30pm Thursday 8:30am - 4:30pm Friday 8:30am - 4:30pm Saturday Closed Sunday Closed"
