"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-akron-1522-s-main-st-44301","Akron - Firestone Park","1522 S Main St","Akron","OH","44301","US","14","3307851088","<MISSING>","41.045463","-81.527595","Monday:10:00 AM - 10:00 PM| Tuesday:10:00 AM - 10:00 PM| Wednesday:10:00 AM - 10:00 PM| Thursday:10:00 AM - 10:00 PM| Friday:10:00 AM - 11:00 PM| Saturday:10:00 AM - 11:00 PM| Sunday:10:00 AM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-akron-1250-e-tallmadge-ave-44310","Akron - North Hill","1250 E Tallmadge Ave","Akron","OH","44310","US","1","3306341110","<MISSING>","41.101612","-81.469565","Monday:10:30 AM - 11:00 PM| Tuesday:10:30 AM - 11:00 PM| Wednesday:10:30 AM - 11:00 PM| Thursday:10:30 AM - 11:00 PM| Friday:10:30 AM - 12:00 AM| Saturday:10:30 AM - 12:00 AM| Sunday:12:00 PM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-akron-1376-n-portage-path-44313","Akron - The Valley","1376 N Portage Path","Akron","OH","44313","US","2","3308673337","<MISSING>","41.132522","-81.549424","Monday:10:30 AM - 10:00 PM| Tuesday:10:30 AM - 10:00 PM| Wednesday:10:30 AM - 10:00 PM| Thursday:10:30 AM - 10:00 PM| Friday:10:30 AM - 11:00 PM| Saturday:10:30 AM - 11:00 PM| Sunday:2:00 PM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-alliance-1690-s-union-ave-44601","Alliance","1690 S Union Ave","Alliance","OH","44601","US","3","3308219444","<MISSING>","40.904544","-81.105562","Monday:10:30 AM - 10:00 PM| Tuesday:10:30 AM - 10:00 PM| Wednesday:10:30 AM - 10:00 PM| Thursday:10:30 AM - 10:00 PM| Friday:10:30 AM - 11:00 PM| Saturday:10:30 AM - 11:00 PM| Sunday:2:00 PM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-aurora-29-s-aurora-rd-44202","Aurora","29 S Aurora Rd","Aurora","OH","44202","US","4","3305628144","<MISSING>","41.316663","-81.348571","Monday:10:30 AM - 10:00 PM| Tuesday:10:30 AM - 10:00 PM| Wednesday:10:30 AM - 10:00 PM| Thursday:10:30 AM - 10:00 PM| Friday:10:30 AM - 11:00 PM| Saturday:10:30 AM - 11:00 PM| Sunday:2:00 PM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-austintown-4903-mahoning-ave-44515","Austintown","4903 Mahoning Ave","Austintown","OH","44515","US","49","3309533777","<MISSING>","41.099842","-80.747554","Monday:10:00 AM - 10:00 PM| Tuesday:10:00 AM - 10:00 PM| Wednesday:10:00 AM - 10:00 PM| Thursday:10:00 AM - 10:00 PM| Friday:10:00 AM - 11:00 PM| Saturday:10:00 AM - 11:00 PM| Sunday:10:30 AM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-chagrin-falls-8549-e-washington-st-44023","Bainbridge / Chagrin Falls","8549 E Washington St","Chagrin Falls","OH","44023","US","5","4407080208","<MISSING>","41.410962","-81.337256","Monday:10:30 AM - 10:00 PM| Tuesday:10:30 AM - 10:00 PM| Wednesday:10:30 AM - 10:00 PM| Thursday:10:30 AM - 10:00 PM| Friday:10:30 AM - 11:00 PM| Saturday:10:30 AM - 11:00 PM| Sunday:11:00 AM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-bedford-703-broadway-ave-44146","Bedford","703 Broadway Ave","Bedford","OH","44146","US","6","4407867786","<MISSING>","41.391411","-81.534985","Monday:11:00 AM - 10:00 PM| Tuesday:11:00 AM - 10:00 PM| Wednesday:11:00 AM - 10:00 PM| Thursday:11:00 AM - 10:00 PM| Friday:11:00 AM - 11:00 PM| Saturday:11:00 AM - 11:00 PM| Sunday:12:00 PM - 9:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-brimfield-4081-state-route-43-44240","Brimfield / Kent","4081 State Route 43","Brimfield","OH","44240","US","7","3306785005","<MISSING>","41.100961","-81.346806","Monday:10:00 AM - 10:00 PM| Tuesday:10:00 AM - 10:00 PM| Wednesday:10:00 AM - 10:00 PM| Thursday:10:00 AM - 10:00 PM| Friday:10:00 AM - 11:00 PM| Saturday:10:30 AM - 11:00 PM| Sunday:12:00 PM - 10:00 PM"
"https://www.gioninos.com/","https://www.gioninos.com/locations/oh-broadview-heights-8023-broadview-rd-44147","Broadview Hts / Brecksville","8023 Broadview Rd","Broadview Heights","OH","44147","US","46","4405469444","<MISSING>","41.347572","-81.683756","Monday:10:00 AM - 9:00 PM| Tuesday:10:00 AM - 9:00 PM| Wednesday:10:00 AM - 9:00 PM| Thursday:10:00 AM - 9:00 PM| Friday:10:00 AM - 10:00 PM| Saturday:10:00 AM - 10:00 PM| Sunday:10:30 AM - 9:00 PM"
