"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.yogasix.com/","https://www.yogasix.com/location/carmel-valley","CARMEL VALLEY","4639 Carmel Mountain Rd., Suite 102","San Diego","CA","92130","CA","<MISSING>","                +1                (858) 461-0980","<MISSING>","32.9203722","-117.2144183","Mon & Tue & Wed & Thu & Fri & Sat & Sun: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/4s-ranch","4S RANCH","16625 Dove Canyon Rd.","San Diego","CA","92127","CA","<MISSING>","                +1                (858) 451-9642","<MISSING>","33.0156668","-117.1112624","Mon & Tue & Wed & Thu & Fri & Sat & Sun: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/carlsbad","CARLSBAD - THE FORUM","1905 Calle Barcelona, Suite 238","Carlsbad","CA","92009","CA","<MISSING>","                +1                (760) 274-6332","<MISSING>","33.0706893","-117.2660673","Mon & Tue & Wed & Thu & Fri & Sat & Sun: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/solana-beach","SOLANA BEACH","437 South Highway 101, Suite 401","Solana Beach","CA","92075","CA","<MISSING>","                +1                (858) 345-1810","<MISSING>","32.9856859","-117.2705968","Mon & Tue & Wed & Thu & Fri & Sat & Sun: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/point-loma","POINT LOMA","2850 Womble Rd., Suite 101","San Diego","CA","92106","CA","<MISSING>","                +1                (619) 955-6668","<MISSING>","32.7357541","-117.2167872","Mon & Tue & Wed & Thu & Fri & Sat & Sun: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/st-louis","ST. LOUIS","5724 Oakland Ave.","St. Louis","MO","63110","CA","<MISSING>","                +1                (314) 802-7447","<MISSING>","38.6302435","-90.2823357","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/des-peres","DES PERES","12360 Manchester Rd., Suite 206","St. Louis","MO","63131","CA","<MISSING>","                +1                (314) 821-1878","<MISSING>","38.603065","-90.4433651","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/academy","ACADEMY","5901 Wyoming Blvd NE, Suite P7","Albuquerque","NM","87109","CA","<MISSING>","                +1                (505) 303-0744","<MISSING>","35.1474707","-106.5554779","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/yorba-linda","YORBA LINDA","4889 Valencia Ave.","Yorba Linda","CA","92886","CA","<MISSING>","                +1                (657) 363-4710","<MISSING>","33.8898333","-117.8123124","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/gold-coast","GOLD COAST","1150 N State St","Chicago","IL","60610","CA","<MISSING>","                +1                (312) 643-0693","<MISSING>","41.9033984","-87.6288804","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/south-loop","SOUTH LOOP","1136 S Delano Ct, Suite E-204","Chicago","IL","60605","CA","<MISSING>","                +1                (312) 583-0161","<MISSING>","41.8683064","-87.633037","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/milwaukee","MILWAUKEE","2227 N Prospect Ave","Milwaukee","WI","53202","CA","<MISSING>","                +1                (414) 800-7550","<MISSING>","43.0593041","-87.8848785","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/lincoln-park","LINCOLN PARK","2105 N Southport Ave, Suite 200","Chicago","IL","60614","CA","<MISSING>","                +1                (773) 270-5562","<MISSING>","41.9202837","-87.6628656","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/upper-arlington","UPPER ARLINGTON","1600 W Lane Ave","Upper Arlington","OH","43221","CA","<MISSING>","                +1                (614) 826-1491","<MISSING>","40.0073724","-83.0533373","Mon & Tue & Wed & Thu & Fri: 6am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/irvine","IRVINE","14439 Culver Drive","Irvine","CA","92604","CA","<MISSING>","                +1                (949) 216-6171","<MISSING>","33.7063405","-117.7882309","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/la-jolla","LA JOLLA/UTC","8657 Villa La Jolla Drive, Suite 121","La Jolla","CA","92037","CA","<MISSING>","                +1                (858) 886-7047","<MISSING>","32.8681508","-117.2228903","Mon & Tue & Wed & Thu & Fri: 5am-8pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/creve-coeur","CREVE COEUR","11641 Olive Boulevard","Creve Coeur","MO","63141","CA","<MISSING>","                +1                (314) 455-4668","<MISSING>","38.6714224","-90.4406247","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/bressi-ranch","CARLSBAD - BRESSI RANCH","2628 Gateway Road, Suite 130","Carlsbad","CA","92009","CA","<MISSING>","                +1                (760) 456-9951","<MISSING>","33.1276352","-117.2549956","Mon & Tue & Wed & Thu & Fri: 5am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/redondo-beach","REDONDO BEACH","403 N. Pacific Coast Hwy, Suite 203","Redondo Beach","CA","90277","CA","<MISSING>","                +1                (424) 230-8181","<MISSING>","33.8470996","-118.3891551","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/st-charles","ST CHARLES","1450 Beale St., Unit 115","St. Charles","MO","63303","CA","<MISSING>","                +1                (636) 410-8498","<MISSING>","38.7665667","-90.4935288","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/bakersfield","BAKERSFIELD","9000 Ming Avenue, Suite L6","Bakersfield","CA","93311","CA","<MISSING>","                +1                (661) 735-7139","<MISSING>","35.3414311","-119.1034731","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/clermont","CLERMONT","2305 South Hwy. 27","Clermont","FL","34711","CA","<MISSING>","                +1                (352) 404-9483","<MISSING>","28.5389218","-81.736419","<MISSING>"
"https://www.yogasix.com/","https://www.yogasix.com/location/north-meridian","NORTH MERIDIAN","6360 N Saguaro Hills Ave","Meridian","ID","83646","CA","<MISSING>","                +1                (208) 971-0238","<MISSING>","43.6625206","-116.3814319","Mon & Tue & Wed & Thu & Fri: 5:30am-9pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/nampa","NAMPA","1214 N Galleria Dr","Nampa","ID","83687","CA","<MISSING>","                +1                (208) 971-0238","<MISSING>","43.5951471","-116.5092013","Mon & Tue & Wed & Thu: 5:30am-7:30pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/south-meridian","SOUTH MERIDIAN","3055 E Fairview Ave, Unit 210","Meridian","ID","83642","CA","<MISSING>","                +1                (208) 971-0238","<MISSING>","43.6188523","-116.358087","Mon: 5:15am-8:30pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/boise","BOISE","2122 S Broadway Ave","Boise","ID","83706","CA","<MISSING>","                +1                (208) 971-0238","<MISSING>","43.5855061","-116.1926303","Mon & Tue & Wed & Thu & Fri: 6am-7pm"
"https://www.yogasix.com/","https://www.yogasix.com/location/garden-city","GARDEN CITY","5655 N Glenwood St, Unit 100","Garden City","ID","83714","CA","<MISSING>","                +1                (208) 971-0238","<MISSING>","43.6559946","-116.2809125","Mon & Tue & Wed & Thu & Fri: 5:45am-6pm"
