"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Perimeter","4400 Ashford Dunwoody Rd # 1515","Atlanta","Georgia","30346","US","46","(770) 913-9443","<MISSING>","33.9230015","-84.33998040000002","Mon - Thurs 11am-7pm Fri 11am-7pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Scottsdale Fashion Square","7014 Camelback Rd # 544","Scottsdale","Arizona","85251","US","16","(480) 947-1277","<MISSING>","33.5036822","-111.9293812","Mon - Thurs 11am-6pm Fri 11am-6pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","SanTan Village","2224 Williams Field Rd. 116","Gilbert","Arizona","85295","US","98","(480) 561-0997","<MISSING>","33.3081148","-111.7427414","Mon - Thurs 11am-6pm Fri 11am-6pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Paramus Design Center","772 NJ-17  # 4A","Paramus","New Jersey","07652","US","91","(201) 389-0151","<MISSING>","40.9725752","-74.0804007","Mon - Thurs 11am-7pm Fri 11am-7pm Sat 10am-7pm Sun Closed"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Roosevelt Field","630 Old Country Rd # 2079B","Garden City","New York","11530","US","72","(516) 479-5522","<MISSING>","40.7381975","-73.61435759999999","Mon - Thurs 11am-7pm Fri 11am-7pm Sat 11am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Woodfield Mall","134 Woodfield Mall","Schaumburg","Illinois","60173","US","30","(847) 619-1103","<MISSING>","42.0450025","-88.0392413","Mon - Thurs 11am-7pm Fri 11am-7pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Houston City Centre","818 Town and Country Blvd # 101","Houston","Texas","77024","US","20","(713) 470-4635","<MISSING>","29.7815065","-95.56051079999999","Mon - Thurs 11am-6pm Fri 11am-6pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Shops at La Cantera","15900 La Cantera Pkwy","San Antonio","Texas","78256","US","11","(210) 558-0371","<MISSING>","29.5935398","-98.6145043","Mon - Thurs 11am-6pm Fri 11am-6pm Sat 10am-7pm Sun 12pm-6pm"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Willow Bend","6121 Park Blvd","Plano","Texas","75093","US","29","(469) 366-3483","<MISSING>","33.0308529","-96.8320851","Mon - Thurs 11am-6pm Fri 11am-6pm Sat 10am-7pm Sun 12pm-6pm. Note: We are closed on Tuesday and Wednesday"
"https://www.zgallerie.com","https://www.zgallerie.com/t-store-locations","Dallas Galleria North","5225 Alpha Road","Dallas","Texas","75240","US","42","(972) 458-8266","<MISSING>","32.9333643","-96.81856189999999","Mon - Thurs 11am-7pm Fri 11am-7pm Sat 10am-7pm Sun 12pm-6pm"
