"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://wingstogo.com/","https://wingstogo.com/location/Decatur","Decatur, AL","1241 Point Mallard Pkwy Suite 104 Crossing of Decatur","Decatur","AL","35601","US","<MISSING>","(256) 309-5407","<MISSING>","34.56016117164585","-86.97049669052221","Hours:
Every Day
10:30 AM - 9 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Huntsville-Jordan-Lane","Huntsville Jordan Lane, AL","418 Jordan Lane","Huntsville","AL","35805","US","<MISSING>","(256) 533-2998","<MISSING>","34.725862577285156","-86.6268810675464","Hours:
Every Day
11 AM - 9:30 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Huntsville-Memorial-Pkwy","Huntsville Memorial Pkwy, AL","3503 N. Memorial Pkwy Lowe's Shopping Center","Huntsville","AL","35801","US","<MISSING>","(256) 746-1099","<MISSING>","34.7717116348395","-86.58780224141209","Hours:
Sun
11:30 AM - 9 PM
Mon-Thu
11 AM - 10 PM
Fri-Sat
11 AM - 10:30 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Madison","Madison, AL","8572 Madison Blvd Suite U","Madison ","AL","35758","US","<MISSING>","(256) 461-0358","<MISSING>","34.68280039158827","-86.74107114910132","Hours:
Sun-Thu
11 AM - 9 PM
Fri-Sat
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Jonesboro-AR-Alexander-Drive","Jonesboro AR Alexander Drive, AR","2536 Alexander Dr","Jonesboro","AR","72401","US","<MISSING>","(870) 336-9464","<MISSING>","35.81444313016451","-90.72936714907675","Hours:
Sun-Thu
10:30 AM - 10 PM
Fri-Sat
10:30 AM - 11 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Jonesboro-AR-Parkwood-Road","Jonesboro AR Parkwood Road, AR","2935 Parkwood Road Suite C","Jonesboro ","AR","72401","US","<MISSING>","(870) 934-9464","<MISSING>","35.81444313016451","-90.72936714907675","Hours:
Sun-Thu
10:30 AM - 10 PM
Fri-Sat
10:30 AM - 11 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Bear","Bear, DE","809 Governor's Place Governor's Square Shopping Center","Bear","DE","19701","US","<MISSING>","(302) 836-8611","<MISSING>","39.63313011074411","-75.66746504898775","Hours:
Sun-Wed
11 AM - 9 PM
Thu-Sat
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Dewey-Beach","Dewey Beach, DE","1814 Coastal Highway","Dewey Beach","DE","19971","US","<MISSING>","(302) 227-9555","<MISSING>","38.69419606640094","-75.07692874901049","Hours:
Every Day
6 AM - 2 AM"
"https://wingstogo.com/","https://wingstogo.com/location/Dover","Dover, DE","23 S. Dupont Highway","Dover","DE","19901","US","<MISSING>","(302) 734-8144","<MISSING>","39.16312623874118","-75.51593764899923","Hours:
Every Day
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Glasgow","Glasgow, DE","940 Peoples Plaza Peoples Plaza","Newark","DE","19702","US","<MISSING>","(302) 836-9711","<MISSING>","39.601619312629744","-75.75017724898858","Hours:
Sun-Wed
11 AM - 9 PM
Thu-Sat
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/Long-Neck","Long Neck, DE","25938 Plaza Drive Suite 3","Long Neck","DE","19966","US","<MISSING>","(302) 947-9444","<MISSING>","38.63187787005614","-75.196358049012","Hours:
Sun
11 AM - 8 PM
Mon-Thu
11 AM - 9 PM
Fri-Sat
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/New-Castle","New Castle, DE","1404 N. Dupont Highway Continental Shopping Center","New Castle","DE","19720","US","<MISSING>","(302) 322-5050","<MISSING>","39.68905590739455","-75.58394444898644","Hours:
Sun-Wed
11 AM - 9 PM
Thu-Sat
11 AM - 10 PM"
"https://wingstogo.com/","https://wingstogo.com/location/12-Street-D.C.","12 Street D.C., DC","3502 12th Street NE","Washington","DC","20017","US","<MISSING>","(202) 529-7619","<MISSING>","38.932738452364774","-76.99334994900482","Hours:
Sun
11 AM - 11 AM
Mon
10 AM - 11 PM
Tue
10 AM - 11 AM
Wed-Thu
10 AM - 11 PM
Fri-Sat
10 AM - 1 AM"
"https://wingstogo.com/","https://wingstogo.com/location/Egg-Harbor","Egg Harbor, NJ","6690 Blackhorse Pike","Egg Harbor","NJ","08232","US","<MISSING>","(609) 272-7557","<MISSING>","39.40959402409381","-74.56817154899326","Hours:
Every Day
11 AM - 10 PM"
