"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"ymca.net","https://www.ymca.net/y-profile/?id=7","Birmingham Metropolitan YMCA","2101 4th Avenue N","Birmingham","AL","35203-3303","US","7","205-801-9622","<MISSING>","33.517744","<MISSING>","Monday: 8 a.m. - 5 p.m.; Tuesday: 8 a.m. - 5 p.m.; Wednesday: 8 a.m. - 5 p.m.; Thursday: 8 a.m. - 5 p.m.; Friday: 8 a.m. - 5 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=9","Camp Cosby Family Branch","2290 Paul Bear Bryant Rd","Alpine","AL","35014-6548","US","9","256-268-2007","<MISSING>","33.442036","<MISSING>","Monday: 8 a.m. - 6 p.m.; Tuesday: 8 a.m. - 6 p.m.; Wednesday: 8 a.m. - 6 p.m.; Thursday: 8 a.m. - 6 p.m.; Friday: 8 a.m. - 6 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=1","YMCA of Calhoun County","29 West 14th Street PO Box 1649","Anniston","AL","36202-1649","US","1","256-238-9622","<MISSING>","33.6624","<MISSING>","Sunday: 1 p.m. - 5 p.m.; Monday: 5:30 a.m. - 8 p.m.; Tuesday: 5:30 a.m. - 8 p.m.; Wednesday: 5:30 a.m. - 8 p.m.; Thursday: 5:30 a.m. - 8 p.m.; Friday: 5:30 a.m. - 7 p.m.; Saturday: 7 a.m. - 3 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=6","Mountain Brook YMCA","2401 20th Place South","Birmingham","AL","35223","US","6","205-870-0144","<MISSING>","33.488675","<MISSING>","Sunday: 12 a.m. - 12 a.m.; Monday: 12 a.m. - 12 a.m.; Tuesday: 12 a.m. - 12 a.m.; Wednesday: 12 a.m. - 12 a.m.; Thursday: 12 a.m. - 12 a.m.; Friday: 12 a.m. - 12 a.m.; Saturday: 12 a.m. - 12 a.m."
"ymca.net","https://www.ymca.net/y-profile/?id=8","Greystone Branch YMCA","5414 Highway 280","Birmingham","AL","35242","US","8","205-981-0144","<MISSING>","33.41744","<MISSING>","Sunday: 12 a.m. - 12 a.m.; Monday: 12 a.m. - 12 a.m.; Tuesday: 12 a.m. - 12 a.m.; Wednesday: 12 a.m. - 12 a.m.; Thursday: 12 a.m. - 12 a.m.; Friday: 12 a.m. - 12 a.m.; Saturday: 12 a.m. - 12 a.m."
"ymca.net","https://www.ymca.net/y-profile/?id=3","Legacy YMCA","1501 4th Ave SW","Bessemer","AL","35022-6016","US","3","205-426-1211","<MISSING>","33.3579401","<MISSING>","Sunday: 1 p.m. - 5 p.m.; Monday: 5 a.m. - 9:30 p.m.; Tuesday: 5 a.m. - 9:30 p.m.; Wednesday: 5 a.m. - 9:30 p.m.; Thursday: 5 a.m. - 9:30 p.m.; Friday: 5 a.m. - 9 p.m.; Saturday: 8 a.m. - 5 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=12","Hoover Family YMCA","2250 Highway 150","Hoover","AL","35244","US","12","205-682-1399","<MISSING>","33.348203","<MISSING>","Sunday: 12 a.m. - 12 a.m.; Monday: 12 a.m. - 12 a.m.; Tuesday: 12 a.m. - 12 a.m.; Wednesday: 12 a.m. - 12 a.m.; Thursday: 12 a.m. - 12 a.m.; Friday: 12 a.m. - 12 a.m.; Saturday: 12 a.m. - 12 a.m."
"ymca.net","https://www.ymca.net/y-profile/?id=25","Enterprise YMCA","P.O. Box 310700 904 Ozark Hwy","Enterprise","AL","36331-0700","US","25","334-347-4513","<MISSING>","31.4121","<MISSING>","Sunday: 12 a.m. - 12 a.m.; Monday: 12 a.m. - 12 a.m.; Tuesday: 12 a.m. - 12 a.m.; Wednesday: 12 a.m. - 12 a.m.; Thursday: 12 a.m. - 12 a.m.; Friday: 12 a.m. - 12 a.m.; Saturday: 12 a.m. - 12 a.m."
"ymca.net","https://www.ymca.net/y-profile/?id=14","Pelham Family Branch YMCA","2610 Pelham Pkwy","Pelham","AL","35124-1323","US","14","205-664-9622","<MISSING>","33.31769","<MISSING>","Sunday: 1 p.m. - 6 p.m.; Monday: 5:30 a.m. - 9 p.m.; Tuesday: 5:30 a.m. - 9 p.m.; Wednesday: 5:30 a.m. - 9 p.m.; Thursday: 5:30 a.m. - 9 p.m.; Friday: 5:30 a.m. - 9 p.m.; Saturday: 8 a.m. - 6 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=4","Trussville Branch YMCA","5920 Valley Rd","Birmingham","AL","35173","US","4","205-655-2224","<MISSING>","33.626189","<MISSING>","Sunday: 12 a.m. - 12 a.m.; Monday: 12 a.m. - 12 a.m.; Tuesday: 12 a.m. - 12 a.m.; Wednesday: 12 a.m. - 12 a.m.; Thursday: 12 a.m. - 12 a.m.; Friday: 12 a.m. - 12 a.m.; Saturday: 12 a.m. - 12 a.m."
"ymca.net","https://www.ymca.net/y-profile/?id=16","Downtown Family Branch","2101 4th Ave N","Birmingham","AL","35203","US","16","205-324-4563","<MISSING>","33.517116","<MISSING>","Monday: 5 a.m. - 9 p.m.; Tuesday: 5 a.m. - 9 p.m.; Wednesday: 5 a.m. - 9 p.m.; Thursday: 5 a.m. - 9 p.m.; Friday: 5 a.m. - 8 p.m.; Saturday: 8 a.m. - 1 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=17","Alabaster YMCA Community Center","117 Plaza Circle","Alabaster","AL","35007","US","17","205-663-7240","<MISSING>","33.2188542","<MISSING>","Monday: 12 p.m. - 6 p.m.; Tuesday: 12 p.m. - 6 p.m.; Wednesday: 12 p.m. - 6 p.m.; Thursday: 12 p.m. - 6 p.m.; Friday: 12 p.m. - 6 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=34","Craig and Steven Hogan Family YMCA","130 Park Square Lane","Madison","AL","35758","US","34","256-705-9622","<MISSING>","34.8138882","<MISSING>","Sunday: 12 p.m. - 6 p.m.; Monday: 5 a.m. - 10 p.m.; Tuesday: 5 a.m. - 10 p.m.; Wednesday: 5 a.m. - 10 p.m.; Thursday: 5 a.m. - 10 p.m.; Friday: 5 a.m. - 9 p.m.; Saturday: 7:30 a.m. - 7:30 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=22","Northeast Family Branch","628 Red Lane Rd","Birmingham","AL","35215-8236","US","22","205-833-7616","<MISSING>","33.591","<MISSING>","Monday: 5 a.m. - 8 p.m.; Tuesday: 5 a.m. - 8 p.m.; Wednesday: 5 a.m. - 8 p.m.; Thursday: 5 a.m. - 8 p.m.; Friday: 5 a.m. - 7 p.m.; Saturday: 7 a.m. - 12 p.m."
"ymca.net","https://www.ymca.net/y-profile/?id=23","Shades Valley Family Branch","3551 Montgomery Hwy","Birmingham","AL","35209-5799","US","23","205-870-9622","<MISSING>","33.469949","<MISSING>","Sunday: 1 p.m. - 6 p.m.; Monday: 5 a.m. - 10 p.m.; Tuesday: 5 a.m. - 10 p.m.; Wednesday: 5 a.m. - 10 p.m.; Thursday: 5 a.m. - 10 p.m.; Friday: 5 a.m. - 10 p.m.; Saturday: 8 a.m. - 6 p.m."
