"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"rackroomshoes.com","https://www.rackroomshoes.com/store/320","MALL OF THE AMERICAS","7795 W FLAGLER ST STE 25A","MIAMI","FL","33144","United States","320","3052672420","Rack Room Shoes","25.7725278","-80.3229708","Sun 12:00 PM - 7:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/305","COLONIAL PALMS PLAZA","13609 SOUTH DIXIE HIGHWAY","MIAMI","FL","33176","United States","305","3052569749","Rack Room Shoes","25.6434694","-80.3330171","Sun 11:00 AM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/278","PEMBROKE CROSSING","11860 PINES BLVD BLDG E-2","PEMBROKE PINES","FL","33026","United States","278","9544332154","Rack Room Shoes","26.006179","-80.3082096","Sun 11:00 AM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/729","WESTFIELD BROWARD MALL","8000 W BROWARD BLVD","PLANTATION","FL","33388","United States","729","9544724104","Rack Room Shoes","26.1178886","-80.2547834","Sun 11:00 AM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/126","SAWGRASS MILLS","12801 W. SUNRISE BLVD. SUITE 293","SUNRISE","FL","33323","United States","126","9548469253","Rack Room Shoes","26.1493412","-80.3242048","Sun 11:00 AM - 8:00 PM,Mon 10:00 AM - 9:30 PM,Tue 10:00 AM - 9:30 PM,Wed 10:00 AM - 9:30 PM,Thu 10:00 AM - 9:30 PM,Fri 10:00 AM - 9:30 PM,Sat 10:00 AM - 9:30 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/3025","SAWGRASS MILLS","2604 SAWGRASS MILLS CIRCLE STE 1115","SUNRISE","FL","33323","United States","3025","9548388428","Off Broadway Shoe Warehouse","26.1534952","-80.321093","Sun 11:00 AM - 8:00 PM,Mon 10:00 AM - 10:00 PM,Tue 10:00 AM - 10:00 PM,Wed 10:00 AM - 10:00 PM,Thu 10:00 AM - 10:00 PM,Fri 10:00 AM - 10:00 PM,Sat 10:00 AM - 10:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/608","HOMESTEAD PAVILION","2465 NE 10 COURT","HOMESTEAD","FL","33033","United States","608","3052457724","Rack Room Shoes","25.4803312","-80.4428655","Sun 11:00 AM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/372","LAKEWOOD SHOPPING CENTER","5317 W ATLANTIC BLVD","MARGATE","FL","33063","United States","372","9549175856","Rack Room Shoes","26.2366757","-80.1983816","Sun 12:00 PM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/182","FLORIDA KEYS OUTLET MARKETPLACE","250 EAST PALM DR. SUITE 415","FLORIDA CITY","FL","33034","United States","182","3052452446","Rack Room Shoes","25.4523831","-80.472412","Sun 11:00 AM - 6:00 PM,Mon 10:00 AM - 7:00 PM,Tue 10:00 AM - 7:00 PM,Wed 10:00 AM - 7:00 PM,Thu 10:00 AM - 7:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
"rackroomshoes.com","https://www.rackroomshoes.com/store/467","POMPANO CITI CENTRE","2201 N. FEDERAL HWY STE. C-102","POMPANO BEACH","FL","33062","United States","467","9549464906","Rack Room Shoes","26.2572289","-80.1023826","Sun 12:00 PM - 6:00 PM,Mon 10:00 AM - 9:00 PM,Tue 10:00 AM - 9:00 PM,Wed 10:00 AM - 9:00 PM,Thu 10:00 AM - 9:00 PM,Fri 10:00 AM - 9:00 PM,Sat 10:00 AM - 9:00 PM"
