"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/ca/anaheim/1640-s-harbor-blvd","Tony Roma's S. Harbor Blvd.","1640 S Harbor Blvd","Anaheim","CA","92802","US","2656480","(714) 520-0200","<MISSING>","33.8079378","-117.9149695","Monday11:00 AM - 10:00 PM|Tuesday11:00 AM - 10:00 PM|Wednesday11:00 AM - 10:00 PM|Thursday11:00 AM - 10:00 PM|Friday11:00 AM - 11:00 PM|Saturday11:00 AM - 11:00 PM|Sunday11:00 AM - 10:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/ca/carson/20720-avalon-blvd","Tony Roma's Avalon Blvd.","20720 Avalon Blvd","Carson","CA","90746","US","2656488","(310) 329-5723","<MISSING>","33.84390410898552","-118.26297953724861","Monday11:00 AM - 10:00 PM|Tuesday11:00 AM - 10:00 PM|Wednesday11:00 AM - 10:00 PM|Thursday11:00 AM - 10:00 PM|Friday11:00 AM - 11:00 PM|Saturday11:00 AM - 11:00 PM|Sunday10:00 AM - 10:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/ca/universal-city/1000-universal-studios-blvd","Tony Roma's City Walk","1000 Universal Studios Blvd","Universal City","CA","91608","US","2656474","(818) 763-7674","<MISSING>","34.135860349388466","-118.35371508659591","Monday11:00 AM - 9:00 PM|Tuesday11:00 AM - 9:00 PM|Wednesday11:00 AM - 9:00 PM|Thursday11:00 AM - 9:00 PM|Friday11:00 AM - 11:00 PM|Saturday11:00 AM - 11:00 PM|Sunday11:00 AM - 9:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/co/denver/1480-arapahoe-st","Tony Roma's Downtown","1480 Arapahoe St","Denver","CO","80202","US","8699810","(303) 844-5280","<MISSING>","39.74648381310105","-104.99706779017828","Monday4:00 PM - 10:00 PM|Tuesday4:00 PM - 10:00 PM|Wednesday4:00 PM - 10:00 PM|Thursday4:00 PM - 10:00 PM|Friday4:00 PM - 11:00 PM|Saturday4:00 PM - 11:00 PM|Sunday4:00 PM - 9:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/co/denver/4411-peoria-street","Tony Roma's Peoria","4411 Peoria Street","Denver","CO","80239","US","9511192","(303) 375-8080","<MISSING>","39.7758598","-104.8479237","Monday11:00 AM - 11:00 PM|Tuesday11:00 AM - 11:00 PM|Wednesday11:00 AM - 11:00 PM|Thursday11:00 AM - 11:00 PM|Friday11:00 AM - 12:00 AM|Saturday11:00 AM - 12:00 AM|Sunday11:00 AM - 11:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/co/greeley/701-8th-street","Tony Roma's 8th Street","701 8th Street","Greeley","CO","80631","US","9574533","(970) 353-2841","<MISSING>","40.42515849999999","-104.6900316","Monday4:00 PM - 10:00 PM|Tuesday4:00 PM - 10:00 PM|Wednesday4:00 PM - 10:00 PM|Thursday4:00 PM - 10:00 PM|Friday4:00 PM - 11:00 PM|Saturday4:00 PM - 11:00 PM|Sunday4:00 PM - 10:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/fl/orlando/8560-international-dr","Tony Roma's International Drive","8560 International Dr","Orlando","FL","32819","US","2700268","(407) 248-0094","<MISSING>","28.440542046162385","-81.47152595223366","Monday4:00 PM - 11:00 PM|Tuesday4:00 PM - 11:00 PM|Wednesday4:00 PM - 11:00 PM|Thursday4:00 PM - 11:00 PM|Friday4:00 PM - 12:00 AM|Saturday12:00 PM - 12:00 AM|Sunday12:00 PM - 11:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/fl/sunny-isles-beach/18050-collins-ave","Tony Roma's Collins Ave.","18050 Collins Ave","Sunny Isles Beach","FL","33160","US","2700269","(305) 932-7907","<MISSING>","25.94222342341455","-80.12162938714027","Monday12:00 PM - 11:00 PM|Tuesday12:00 PM - 11:00 PM|Wednesday12:00 PM - 11:00 PM|Thursday12:00 PM - 11:00 PM|Friday12:00 PM - 12:00 AM|Saturday12:00 PM - 12:00 AM|Sunday12:00 PM - 11:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/fl/sunrise/12801-west-sunrise-boulevard","Tony Roma's Express Sawgrass Mills Mall","12801 West Sunrise Boulevard Unit #215","Sunrise","FL","33323","US","2656478","(954) 858-1791","<MISSING>","26.1496311","-80.3247762","Monday10:00 AM - 9:00 PM|Tuesday10:00 AM - 9:00 PM|Wednesday10:00 AM - 9:00 PM|Thursday10:00 AM - 9:00 PM|Friday10:00 AM - 9:00 PM|Saturday10:00 AM - 9:00 PM|Sunday11:00 AM - 8:00 PM"
"https://locations.bannerbank.com/","https://locations.tonyromas.com/united-states/fl/west-palm-beach/150-australian-ave","Tony Roma's Airport Hilton","150 Australian Ave","West Palm Beach","FL","33406","US","8501805","(561) 683-6777","<MISSING>","26.67814","-80.072672","Monday11:00 AM - 10:00 PM|Tuesday11:00 AM - 10:00 PM|Wednesday11:00 AM - 10:00 PM|Thursday11:00 AM - 10:00 PM|Friday11:00 AM - 10:00 PM|Saturday11:00 AM - 10:00 PM|Sunday11:00 AM - 10:00 PM"
