"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/bakersfield/","Flight Fit N Fun Bakersfield","3200 Buck Owens Blvd. Ste 100","Bakersfield","CA","93308","US","3481","+1 661-864-7874","<MISSING>","<MISSING>","<MISSING>","Mo-Fr 15:00-21:00| Sa-Su 10:00-21:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/charleston/","Flight Fit N Fun Charleston","8551 Rivers Ave","Charleston","SC","29406","US","3827","+1 (843) 414-7411","<MISSING>","<MISSING>","<MISSING>","Mo-Th 10:00-21:00| Fr-Sa 10:00-23:00| Su 10:00-20:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/cliffwood/","Flight Fit N Fun Cliffwood","111 State Route 35","Cliffwood","NJ","07721","US","3482","+1 732-583-3000","<MISSING>","<MISSING>","<MISSING>","Mo-Th 16:00-20:00| Fr 12:00-20:00| Sa 10:00-20:00| Su 11:00-18:00"
"https://www.flightfitnfun.com/","http://plexhiwire.com/sandhill/","Plex HiWire: Sandhill","741 Fashion Dr.","Columbia","SC ","29229","US","<MISSING>","803-360-7300","<MISSING>","34.12455598058634","-80.88139058433765","Mondays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)4pm-9pm (Family Night $10 per hour – a min. of 2 jumpers.)|Tuesdays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)|Wednesdays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)|Thursdays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)4pm-9pm (BOGO Thursdays.)|Fridays9am-10am (Kid Flight – for ages 6 and under)10am-8pm (Open Jump)8pm-11pm (Teen Flight Night – Ages 11 or over)|Saturdays9am-10am (Kid Flight – for ages 6 and under)10am-8pm (Open Jump)8pm-11pm (Family Flight Night – All ages.)|Sundays9am-10am (Sensory Jump 1st & 3rd Sunday of each month)9am-10am (Kid Flight – for ages 6 and under, 2nd & 4th Sunday of each month)10am-8pm (Open Jump – every Sunday)"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/holyoke/","Flight Fit N Fun Holyoke","50 Holyoke Street","Holyoke","MA","01040","US","3836","1-413-251-0111","<MISSING>","<MISSING>","<MISSING>","Mo-Th 9:00-21:30| Fr-Sa 9:00-22:00| Su 9:00-20:00"
"https://www.flightfitnfun.com/","http://plexhiwire.com/irmo/","Plex HiWire: Irmo","1019 Broad Stone Rd.","Irmo","SC ","29063","US","<MISSING>","803-732-1900","<MISSING>","34.14037474584004","-81.23795882389156","Mondays9am-10am (Kid Flight – for ages 6 and under)4pm-9pm (Family Night $10 per hour – a min. of 2 jumpers.)|Tuesdays9am-10am (Kid Flight – for ages 6 and under)                10am-9pm (Open Jump)|Wednesdays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)|Thursdays9am-10am (Kid Flight – for ages 6 and under)10am-9pm (Open Jump)4pm-9pm (BOGO Thursdays.)|Fridays9am-10am (Kid Flight – for ages 6 and under)10am-8pm (Open Jump)8pm-11pm (Teen Flight Night – Ages 11 or over)|Saturdays9am-10am (Kid Flight – for ages 6 and under)10am-8pm (Open Jump)8pm-11pm (Family Flight Night – All ages.)|Sundays9am-10am (Sensory Jump 1st & 3rd Sunday of each month)9am-10am (Kid Flight – for ages 6 and under, 2nd & 4th Sunday of each month)10am-8pm (Open Jump – every Sunday)"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/manchester/","Flight Fit N Fun Manchester","145 Spencer St.","Manchester","CT","06040","US","3788","+1 860-288-8584","<MISSING>","<MISSING>","<MISSING>","Mo-Th 9:00-21:00| Fr-Sa 9:00-23:00| Su 9:00-20:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/jacksonville/","Flight Fit N Fun Jacksonville","7022 AC Skinner Parkway, Suite 200","Jacksonville","FL","32256","US","3830","+1 904-551-4035","<MISSING>","<MISSING>","<MISSING>","Mo-Th 9:00-21:00| Fr-Sa 9:00-23:00| Su 10:00-20:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/newbritain/","Flight Fit N Fun New Britain","140 Production Ct","New Britain","CT","06051","US","3159","+1 860-505-8218","<MISSING>","<MISSING>","<MISSING>","Mo-Sa 10:00-21:00| Su 10:00-19:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/pittsburgh/","Flight Fit N Fun Pittsburgh","1041 Washington Pike Suite #200","Pittsburgh","PA","15017","US","3160","+1 412-564-0560","<MISSING>","<MISSING>","<MISSING>","Mo-Fr 10:30-21:00| Sa 10:00-21:00| Su 10:00-19:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/ronkonkoma/","Flight Fit N Fun Ronkonkoma","1850 Lakeland Avenue","Ronkonkoma","NY","11779","US","3484","+1 631-619-6000","<MISSING>","<MISSING>","<MISSING>","Mo-Tu 10:00-20:00| We-Th 16:00-20:00| Fr 12:00-23:00| Sa 10:00-23:00| Su 10:00-19:00"
"https://www.flightfitnfun.com/","https://www.flightfitnfun.com/locations/sewell/","Flight Fit N Fun Sewell","7 Enterprise Court","Sewell","NJ","08080","US","3789","+1 856-270-2456","<MISSING>","<MISSING>","<MISSING>","Mo-Th 9:00-21:00| Fr-Sa 9:00-23:00| Su 9:00-20:00"
