"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","Shoppers Value Foods-Alma","106 Hwy 71 N","Alma","AR","72921","US","1714103","(479) 632-5992 ","<MISSING>","35.4847","-94.2263","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","CV's Family Foods-Barling","1205 Fort Street","Barling","AR","72923","US","1714108","(479) 478-6322 ","<MISSING>","35.3311","-94.3096","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","CV's Family Foods-Booneville","1057 E. Hwy 10","Booneville","AR","72927","US","1714109","(479) 675-2221 ","<MISSING>","35.1412","-93.9076","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","CV's Family Foods-Charleston","500 W Main Street","Charleston","AR","72933","US","1714107","(479) 965-7523 ","<MISSING>","35.2962","-94.0465","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","CV's Family Foods-Danville","712 E. 8th Street","Danville","AR","72833","US","1714110","(479) 495-2313 ","<MISSING>","35.0528","-93.387","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=1","Shoppers Value Foods - Fort Smith","3408 Jenny Lind","Fort Smith","AR","72901","US","1714114","(479) 785-2841 ","<MISSING>","35.3512","-94.4143","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","Shoppers Value Foods - Fort Smith","9401 Hwy 253 South","Fort Smith","AR","72908","US","1714111","(479) 648-8788 ","<MISSING>","35.2937","-94.4234","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","CV's Family Foods-Gravette","200 1st Ave Se","Gravette","AR","72736","US","1714116","(479) 787-5921 ","<MISSING>","36.4214","-94.4533","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","CV's Family Foods-Greenwood","301 W. Center","Greenwood","AR","72936","US","1714105","(479) 996-4440 ","<MISSING>","35.2126","-94.2611","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","CV's Family Foods-Lavaca","1806 W. Main St","Lavaca","AR","72941","US","1714113","(479) 674-5689 ","<MISSING>","35.3369","-94.1888","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","CV's Family Foods-Mansfield","406 Huntington Ave.","Mansfield","AR","72944","US","1714106","(479) 928-4333 ","<MISSING>","35.0619","-94.2501","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=2","CV's Family Foods-Ozark","700 W Commercial","Ozark","AR","72949","US","1714102","(479) 667-2780 ","<MISSING>","35.4875","-93.8321","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=3","CV's Family Foods-Paris","1004 E. Walnut","Paris","AR","72855","US","1714104","(479) 963-6194 ","<MISSING>","35.2916","-93.7202","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=AR&displayCount=6&currentPageNumber=3","Shoppers Value Foods-Van Buren","601 Pointer Trail East","Van Buren","AR","72956","US","1714101","(479) 471-1212 ","<MISSING>","35.4598","-94.3541","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=KS&displayCount=6&currentPageNumber=1","Marvin's - Baxter Springs","1400 Military Ave","Baxter Springs","KS","66713","US","1714215","(620) 856-2179 ","<MISSING>","37.0215","-94.7355","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","Shoppers Value Foods - Chouteau","500 N. Chouteau Ave","Chouteau","OK","74337","US","1714209","(918) 476-6700 ","<MISSING>","36.1921","-95.34","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","Marvin's - Dewey","1605 N. Osage","Dewey","OK","74029","US","1714211","(918) 534-1590 ","<MISSING>","36.8075","-95.9362","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","CV's Savers Club","600 N Highway 59","Heavener","OK","74937","US","1714208","(918) 653-4754 ","<MISSING>","34.8884","-94.6037","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","Marvin's - Miami","1014 North Main Street","Miami","OK","74354","US","1714213","(918) 542-1824 ","<MISSING>","36.8867","-94.8764","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","Shoppers Value Foods - Muskogee","615 N. York","Muskogee","OK","74403","US","1714210","(918) 682-1194 ","<MISSING>","35.746","-95.3407","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=1","Pawhuska Hometown Foods","236 East Main Street","Pawhuska","OK","74056","US","1714207","(918) 287-3118 ","<MISSING>","36.6631","-96.3372","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Marvin's - Poteau","1100 S. Broadway","Poteau","OK","74953","US","1714204","(918) 647-3939 ","<MISSING>","35.0487","-94.629","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Marvin's - Roland","100 W. Ray Fine Blvd","Roland","OK","74954","US","1714202","(918) 427-6610 ","<MISSING>","35.4052","-94.5124","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Shoppers Value Foods - Sallisaw","600 E. Cherokee","Sallisaw","OK","74955","US","1714201","(918) 775-4418 ","<MISSING>","35.4603","-94.729","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Marvin's - Spiro","209 W Broadway","Spiro","OK","74959","US","1714206","(918) 962-9488 ","<MISSING>","35.2411","-94.6224","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Shoppers Value Foods-Stilwell","610 North 2nd Street","Stilwell","OK","74960","US","1714115","(918) 696-3350 ","<MISSING>","35.8205","-94.6272","7 am - 9 pm| 7 days a week "
"https://www.cvsfamilyfoods.com/","https://www.cvsfamilyfoods.com/stores/store-search-results.html?state=OK&displayCount=6&currentPageNumber=2","Marvin's - Vian","108 Schley Highway","Vian","OK","74962","US","1714203","(918) 773-5444 ","<MISSING>","35.4987","-94.9685","7 am - 9 pm| 7 days a week "
