"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Antioch - Richards Road","946 Richards Road","Antioch","TN ","37013","US","5","615-781-1830 ","<MISSING>","35.967106","-86.676951","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Columbia - James Campbell Blvd","834 S. James Campbell Blvd","Columbia","TN ","38401","US","10","(931) 380 - 5558","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Hendersonville - Main Street","500 W Main St ","Hendersonville","TN ","37075","US","25","615-822-2556","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","La Vergne - Waldron Rd","562 Waldron Rd #2","La Vergne","TN ","37086      ","US","30","615-793-4231","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Lebanon - Main Street","1334 W Main St","Lebanon","TN ","37087","US","35","615-547-4571","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Madison - Madison Street","06 Madison Street","Madison","TN ","37115    ","US","40","615-860-4507","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Murfreesboro - Memorial Blvd","1301 Memorial Blvd","Murfreesboro","TN ","37129","US","45","615-867-7701","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Nashville - Franklin Pike","2620 Franklin Pike","Nashville","TN ","37204","US","50","(615) 298-1111","<MISSING>","37.0625","-95.677068","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Nashville - Gallatin Rd.","2608 Gallatin Rd ","Nashville","Tn","37116","US","52","(615) 226 - 5012","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Nashville - Lebanon Pike","2509 Lebanon Pike ","Nashville","TN","37214","US","54","(615) 889 - 3400","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Nashville - Trinity Ln.","310 W Trinity Ln ","Nashville ","Tn","37207","US","58","(615) 227-0123","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Nashville - White Bridge Pike","351 White Bridge Pike ","Nashville","TN","37209","US","60","(615) 356-4010","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://fatmos.com/Locations/","http://fatmos.com/Locations/","Smyrna - Sam Ridley Parkway","298 Sam Ridly Parkway East Suite 100","Smyrna","TN ","37167","US","75","615-355-4300","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
