"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Washington/Aberdeen","HearingLife – Hearing Aids:  Aberdeen, WA","110 West Market St. Suite 101","Aberdeen","WA","98520","US","<MISSING>","(360) 637-4437","<MISSING>","46.9749256","-123.8196669","Monday 9:00 AM to 5:00 PM Tuesday 9:00 AM to 5:00 PM Wednesday 9:00 AM to 5:00 PM Thursday 9:00 AM to 5:00 PM Friday 9:00 AM to 5:00 PM Saturday Closed Sunday Closed"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Michigan/Adrian","HearingLife – Hearing Aids:  Adrian, MI","3136 N. Adrian Highway Suite E","Adrian","MI","49221","US","<MISSING>","(517) 759-5459","<MISSING>","41.929769","-84.009006","Monday 9:00 AM-5:00 PM Tuesday 9:00 AM-5:00 PM Wednesday 9:00 AM-5:00 PM Thursday 9:00 AM-5:00 PM Friday 9:00 AM-5:00 PM Saturday BY APPT. Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Wyoming/Afton","Regional Hearing & Balance Center, A HearingLife Company:  Afton, WY","685 S. Washington St.","Afton","WY","83110","US","<MISSING>","(307) 886-7067","<MISSING>","42.7250131","-110.93164","Monday Closed Tuesday Closed Wednesday Closed Thursday 8:00AM to 6:00PM Friday Closed Saturday Closed Sunday Closed"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/North-Carolina/Ahoskie","HearingLife – Hearing Aids:  Ahoskie, NC","220 E. Church St.","Ahoskie","NC","27910","US","<MISSING>","(252) 301-3378","<MISSING>","36.2833837","-76.9849643","Monday 9:00 AM to 5:00 PM Tuesday 9:00 AM to 5:00 PM Wednesday 9:00 AM to 5:00 PM Thursday 9:00 AM to 5:00 PM Friday 9:00 AM to 5:00 PM Saturday Closed Sunday Closed"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Minnesota/Albert Lea","HearingLife:  Albert Lea, MN","125 W. Clark Street","Albert Lea","MN","56007","US","<MISSING>","(507) 473-4194","<MISSING>","43.6496444","-93.3692718","Monday CLOSED Tuesday 9:00 AM - 4:00 PM Wednesday CLOSED Thursday CLOSED Friday 9:00 AM to 5:00 PM Saturday 9:00 AM to 12:00 PM Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Alabama/Albertville","HearingLife – Hearing Aids:  Albertville, AL","201 East McKinney Ave. Suite C","Albertville","AL","35950","US","<MISSING>","(256) 293-4356","<MISSING>","34.2723372","-86.2044235","Monday 8:00 AM-4:00 PM Tuesday 8:00 AM-4:00 PM Wednesday 8:00 AM-4:00 PM Thursday 8:00 AM-4:00 PM Friday 8:00 AM-4:00 PM Saturday CLOSED Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Michigan/Allegan","HearingLife – Hearing Aids:  Allegan, MI","551 Linn St. Suite 060","Allegan","MI","49010","US","<MISSING>","(269) 264-4597","<MISSING>","42.5203459","-85.8560974","Monday CLOSED Tuesday CLOSED Wednesday CLOSED Thursday 9:00 AM-5:00 PM Friday CLOSED Saturday BY APPT. Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Iowa/Altoona","HearingLife:  Altoona, IA","1003 8th Street SW Suite J","Altoona","IA","50009","US","<MISSING>","(515) 381-6326","<MISSING>","41.644834","-93.4764253","Monday 9:00 AM to 5:00 PM Tuesday CLOSED Wednesday 9:00 AM to 5:00 PM Thursday 9:00 AM to 5:00 PM Friday CLOSED Saturday CLOSED Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/Massachusetts/Amesbury","HearingLife – Hearing Aids: Amesbury, MA","24 Morill Place 2nd Floor","Amesbury","MA","01913","US","<MISSING>","(978) 518-3140","<MISSING>","42.8483913","-70.933553","Monday 8:30 AM-4:30 PM Tuesday 8:30 AM-4:30 PM Wednesday 8:30 AM-4:30 PM Thursday 8:30 AM-4:30 PM Friday 8:30 AM-4:30 PM Saturday CLOSED Sunday CLOSED"
"hearinglife.com","https://www.hearinglife.com/hearing-aids-centers/South-Carolina/Anderson","HearingLife:  Anderson, SC","176 Station Drive","Anderson","SC","29621","US","<MISSING>","(864) 642-0965","<MISSING>","34.5571446","-82.692534","Monday By Appointment Tuesday 9:00 AM to 5:00 PM Wednesday 9:00 AM to 5:00 PM Thursday By Appointment Friday 9:00 AM to 5:00 PM Saturday CLOSED Sunday CLOSED"
