"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/irving/","Urban Bricks - Irving","2000 Esters Rd Suite 208","Irving","Texas","75061","United States","2381","972-479-5000","<MISSING>","32.835056","-97.008771","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/webster-groves-firenza/","Urban Bricks - Webster Groves","20 Allen Ave #120,","Webster Groves","Missouri","63119","United States","1652","314-733-5268","<MISSING>","38.593993","-90.360934","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/longview-texas-firenza/","Urban Bricks - Longview","3080 N Eastman Rd Suite 115","Longview","Texas","75605","United States","1612","430-625-7433","<MISSING>","32.547345","-94.726338","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/nacogdoches/","Urban Bricks - Nacogdoches","222 Vista Dr","Nacogdoches","Texas","75962","United States","1621","936-468-7492","<MISSING>","31.620718","-94.65004","Monday 10:30 AM - 8:00 PM Tuesday 10:30 AM - 8:00 PM Wednesday 10:30 AM - 8:00 PM Thursday 10:30 AM - 8:00 PM Friday 10:30 AM - 8:00 PM Saturday 12:15 PM  - 4:00 PM Sunday 12:15 PM  - 8:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/lubbock/","Urban Bricks - Lubbock","7610 Milwaukee Ave #300","Lubbock","Texas","79424","United States","1615","806-993-7777","<MISSING>","33.524778","-101.957587","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/college-station/","Urban Bricks - College Station","1512 Texas Ave. S.","College Station","Texas","77840","United States","1595","979-431-3833","<MISSING>","30.615906","-96.320821","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 12:00 AMSaturday 11:00 AM - 12:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/spring-texas-firenza/","Urban Bricks - Spring","1660 Louetta Rd Suite 300","Spring","Texas","77388","United States","1623","346-351-2888","<MISSING>","30.064252","-95.441133","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/chicago/","Urban Bricks - Chicago","7170 W. 159th St. Orland Park","Chicago","Illinouis","60462","United States","1645","<MISSING>","<MISSING>","41.602729","-87.79351","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 12:00 AMSaturday 11:00 AM - 12:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/greeley/","Urban Bricks - Greely","7008 W Tenth St","Greeley","Colorado","80634","United States","2423","(970) 978 4438","<MISSING>","40.420868","-104.793934","<MISSING>"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/live-oak/","Urban Bricks - Live Oak","8000 Pat Booker Rd.","Live Oak","Texas","78233","United States","1609","210-967-0001","<MISSING>","29.561423","-98.331132","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/the-rim/","Urban Bricks - The Rim","17603 La Cantera Pkwy","San Antonio","Texas","78257","United States","1575","210-699-3333","<MISSING>","29.60939","-98.597087","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 12:00 AMSaturday 11:00 AM - 12:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/Lindenhurst/","Urban Bricks - Lindenhurst","616 North Bridgeport Terrace, Suite A","Lindenhurst","Illinois","60046","United States","1647","224-372-5115","<MISSING>","42.431405","-88.022665","Monday 11:00 AM - 8:00 PM Tuesday 11:00 AM - 8:00 PM Wednesday 11:00 AM - 8:00 PM Thursday 11:00 AM - 8:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday Closed"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/alamo-ranch/","Urban Bricks - Alamo Ranch","10650 Culebra Road Ste. 102","San Antonio","Texas","78251","United States","1579","210-680-1111","<MISSING>","29.492371","-98.701968","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 12:00 AMSaturday 11:00 AM - 12:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/potranco/","Urban Bricks - Potranco","9218 Potranco Rd.","San Antonio","Texas","78251","United States","1619","210-499-4444","<MISSING>","29.441781","-98.66543","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/plymouth/","Urban Bricks - Plymouth","3225 Vicksburg Ln N Suite A","Plymouth","Minnesota","55447","United States","1649","763-444-1269","<MISSING>","45.018288","-93.4836","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 9:00 PM Saturday 11:00 AM - 9:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/pleasanton/","Urban Bricks - Pleasanton","1416 West Oak Lawn","Pleasanton","Texas","78064","United States","1617","830-253-5533","<MISSING>","28.947717","-98.50247","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 12:00 AMSaturday 11:00 AM - 12:00 AMSunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/duluth-firenza/","Urban Bricks - Duluth","2200 Peachtree Industrial","Duluth","Georgia","30097","United States","1641","470-336-7874","<MISSING>","34.021255","-84.121008","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 9:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/laredo/","Urban Bricks - Laredo","7709 McPhearson Rd Building A suite 102","Laredo","Texas","78041","United States","1607","956-338-2020","<MISSING>","27.575426","-99.473208","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 11:00 PM Saturday 11:00 AM - 11:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/mansfield/","Urban Bricks - Mansfield","2074 Walker Lake Road","Mansfield","Ohio","44906","United States","1664","567-307-7366","<MISSING>","40.787855","-82.588471","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/charlotte/","Urban Bricks - Charlotte","210 E Trade St., STE C252","Charlotte","North Carolina","28202","United States","1654","980-393-0000","<MISSING>","35.225275","-80.842027","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/unc-c-firenza/","Urban Bricks - Charlotte Belgate","6925 University City Blvd Suite 420","Charlotte","North Carolina","28262","United States","1656","704-509-0009","<MISSING>","35.290538","-80.765605","Monday 11:00 AM - 10:00 PM Tuesday 11:00 AM - 10:00 PM Wednesday 11:00 AM - 10:00 PM Thursday 11:00 AM - 10:00 PM Friday 11:00 AM - 10:00 PM Saturday 11:00 AM - 10:00 PM Sunday 11:00 AM - 10:00 PM"
"urbanbrickspizza.com","https://urbanbrickspizza.com/locations/phoenix/","Urban Bricks - Phoenix","4750 South 48th Suite 107","Phoenix","Arizona","85040","United States","1631","602-612-4930","<MISSING>","33.404182","-111.978724","Monday 10:30 AM - 8:00 PM Tuesday 10:30 AM - 8:00 PM Wednesday 10:30 AM - 8:00 PM Thursday 10:30 AM - 8:00 PM Friday 10:30 AM - 8:00 PM Saturday 11:00 AM - 8:00 PM Sunday Closed"
"urbanbrickspizza.com","https://www.firenzapizza.com/location/raleigh-firenza/","Urban Bricks - Raleigh","2320 Bale Street Suite 114","Raleigh","North Carolina","27608","United States","1658","919-803-3015","<MISSING>","35.812669","-78.626885","Monday 11:00 AM - 9:00 PM Tuesday 11:00 AM - 9:00 PM Wednesday 11:00 AM - 9:00 PM Thursday 11:00 AM - 9:00 PM Friday 11:00 AM - 9:00 PM Saturday 11:00 AM - 9:00 PM Sunday 11:00 AM - 9:00 PM"
