"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/chandler-az/","Shula`s Steak House (Wild Horse Pass Hotel & Casino)","5040 W Wildhorse Pass Blvd","Chandler","AZ","85226","US","17","520-796-1972","<MISSING>","-111.97355","33.28168","Lunch Daily 11:30am-2:30pm Dinner Sunday Thursday 5pm-10pm Friday-Saturday 5pm-11pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-347grill/coral-gables/","Shula`s 347 Grill","6915 Red Road","Coral Gables","FL","33143","US","11","305-665-9661","<MISSING>","-80.28520","25.70493","Lunch Monday-Friday 11:30am-4pm Saturday-Sunday 12pm-4pm Dinner Sunday Monday 4pm-9pm Tuesday Thursday 4pm-10pm Friday Saturday 4pm-11pm Happy Hour Monday-Friday 4pm-7pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-347grill/lake-mary/","Shula`s 347 Grill","2974 International Pkwy","Lake Mary","FL","32746","US","31","407-531-3567","<MISSING>","-81.35890","28.78809","Monday Friday 6am-11pm Saturday Sunday 7:00am 11:00pm Sunday Brunch 11:00am 3:00pm Happy Hour Monday Friday 4:00pm 7:00pm offered at the bar "
"https://www.shulas.com/","https://www.shulas.com/shulas-347grill/tallahassee/","Shula`s 347 Grill (Hotel Duval Tallahassee)","415 North Monroe Street","Tallahassee","FL","32301","US","12","850-224-6005","<MISSING>","-84.28037","30.44610","Dinner Sunday-Thursday 5pm-10pm Friday-Saturday 5pm-11pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/miami-lakes/","Shula`s Steakhouse","7601 Miami Lakes Dr","Miami Lakes","FL","33014","US","28","305-820-8102","<MISSING>","-80.3225","25.91377","No Name Lounge Tuesday-Saturday 4pm-10pm Dining Room Tuesday-Saturday 6pm-10pm Closed Sunday & Monday "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/gainesville/","Shula\u2019s Steak House","1714 SW 34th Street","Gainesville","FL","32607","US","42","352-384-3460","<MISSING>","-82.372","29.6362","Dining Room Sunday-Thursday5:30pm-9:30pm Friday-Saturday5:30pm-10:30pm No Name Lounge Monday-Sunday 11:30am -11pm Lounge menu offered. Steak House lunch menu offered 11:30am 2:00pm. Sunday-Thursday5:30pm-9:30pm Lounge and Steak House menu offered Friday-Saturday5:30pm-10:30pm Lounge and Steak House menu offered "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/walt-disney-world/","Shula`s Steak House (Walt Disney World Swan and Dolphin Resort)","1500 Epcot Resorts Blvd","Lake Buena Vista","FL","32830","US","18","407-934-1362","<MISSING>","-81.56041","28.36722","Dinner Monday-Sunday 5pm-11pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/tampa/","Shula`s Steak House (The Westshore Grand)","4860 W Kennedy Blvd","Tampa","FL","33609","US","19","813-286-4366","<MISSING>","-82.52553","27.94427","Lunch Monday-Saturday 11:30am-2:30pm Dinner Monday-Saturday 5:30pm-10pm No Name Lounge Monday-Saturday11:30am-midnight Sunday11:30am-11pm Closed Sunday "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/naples/","Shula`s Steakhouse","5111 Tamiami Trl N","Naples","FL","34103","US","32","239-430-4999","<MISSING>","-81.80163","26.20929","Lunch Monday-Sunday 11:30am-2:30pm Dinner Monday-Sunday5:30pm-10pm Bar/Lounge Monday-Sunday 11:30am-10:30pm Happy Hour Monday-Sunday 3pm-6pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-2/miami-lakes/","Shula`s Steak 2","6842 Main Street","Miami Lakes","FL","33014","US","29","305-820-8047","<MISSING>","-80.31173","25.91273","Monday Friday11:30am-11pm Saturday Sunday11am-11pm Brunch Saturday-Sunday 11am-3pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-bargrill/jacksonville/","Shula`s Bar & Grill (Jacksonville Int. Airport - Concourse A)","2400 Yankee Clipper Dr","Jacksonville","FL","32218","US","26","904-661-7072","<MISSING>","-81.6675","30.4878","<MISSING>"
"https://www.shulas.com/","https://www.shulas.com/shulas-bargrill/fort-myers/","Shula`s Bar & Grill (Southwest Florida International Airport)","11000 Terminal Access Road","Fort Myers","FL","33913","US","24","239-318-6046","<MISSING>","-81.75551","26.52758","<MISSING>"
"https://www.shulas.com/","https://www.shulas.com/shulas-bargrill/miami/","Shula`s Bar & Grill","2100 NW 42nd Ave","Miami","FL","33126","US","25","305-876-7820","<MISSING>","-80.28704","25.79586","<MISSING>"
"https://www.shulas.com/","http://www.shulaburger.com/location/tampa/","Tampa\/SOHO","500 South Howard Avenue","Tampa","FL","33606","US","45","813-867-8230","<MISSING>","-82.4827815","27.9393512","Sun - Wed: 11:00AM-11:00PMThurs - Sat: 11:00AM-4:00AM"
"https://www.shulas.com/","http://www.shulaburger.com/location/pinecrest-coming-soon/","Shula Burger Pinecrest\/Miami","12311 South Dixie Highway","Pinecrest","FL","33156","US","39","786-332-6347","<MISSING>","-80.32795199999998","25.655771","Sun - Thur: 11:00AM-9:00PMFri & Sat: 11:00AM-10:00PM"
"https://www.shulas.com/","http://www.shulaburger.com/location/ftld-hollywood-international-airport-fll/","Shula Burger Hollywood International Airport","FLL Terminal ","Fort Lauderdale","FL","33315","US","36","954-359-5054","<MISSING>","-80.15060219999998","26.0742344","<MISSING>"
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/chicago-downtown-il/","Shula`s Steak House (Sheraton Grand Chicago)","301 E North Water St","Chicago","IL","60611","US","21","312-670-0788","<MISSING>","-87.61946","41.88913","<MISSING>"
"https://www.shulas.com/","https://www.shulas.com/shulas-2/cleveland/","Shula's 2 (DoubleTree By Hilton)","6200 Quarry Ln","Cleveland","OH","44131","US","33","216-901-7852","<MISSING>","-81.65048","41.39330","Daily11am-11pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-steak-house/houston/","Shula`s Steak House (Hyatt Regency Houston)","1200 Louisiana Street","Houston","TX","77002","US","27","713-375-4777","<MISSING>","-95.3687","29.7570","Lunch Monday-Sunday 11:30am-5pm Dinner Monday-Sunday 5pm-10pm "
"https://www.shulas.com/","https://www.shulas.com/shulas-347grill/norfolk/","Shula`s 347 Grill (Norfolk Waterside Marriott)","235 East Main Street","Norfolk","VA","23510","US","14","757-282-6347","<MISSING>","-76.29097","36.84560","Monday Thursday11am-11pm Friday Saturday 11am 1am Sunday11am-10pm "
