"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"drmarklynn.com","<MISSING>","Village on Pooler Parkway","276 Pooler Pkwy, Ste B","Pooler","GA","31322","US","534","912.330.8884","<MISSING>","32.1409309","-81.2500883","<MISSING>"
"drmarklynn.com","<MISSING>","Gainesville","671 Dawsonville Highway","Gainesville","GA","30501","US","545","770.297.3583","<MISSING>","34.2952002","-83.85104419999999","<MISSING>"
"drmarklynn.com","<MISSING>","West Carmel Marketplace","9893 N Michigan Rd, Ste 100","Carmel","IN","46032","US","588","317.872.3451","<MISSING>","39.9321404","-86.23183639999999","<MISSING>"
"drmarklynn.com","<MISSING>","Eastland Mall","800 N Green River Rd, Space 205","Evansville","IN","47715","US","594","812.475.1946","<MISSING>","37.9846673","-87.4959867","<MISSING>"
"drmarklynn.com","<MISSING>","Gwinett","2131 Pleasant Hill Rd NW, Ste 152","Duluth","GA","30096","US","472","678.475.0500","<MISSING>","33.9556944","-84.13432540000001","<MISSING>"
"drmarklynn.com","<MISSING>","Southgate","5220 Frederica St","Owensboro","KY","42301","US","549","270.684.1174","<MISSING>","37.716396","-87.12631999999999","<MISSING>"
"drmarklynn.com","<MISSING>","Clarksville","1030 Veterans Pkwy","Clarksville","IN","47129","US","550","812.282.2020","<MISSING>","38.3250198","-85.76638419999999","<MISSING>"
"drmarklynn.com","<MISSING>","Hamilton Place Mall","2100 Hamilton Place Blvd, #167","Chattanooga","TN","37421","US","597","423.892.7166","<MISSING>","35.0303484","-85.1596835","<MISSING>"
"drmarklynn.com","<MISSING>","Village Park Plaza","1950 Greyhound Pass, Ste 2","Carmel","IN","46033","US","593","317.569.0860","<MISSING>","40.0054633","-86.1242446","<MISSING>"
"drmarklynn.com","<MISSING>","Columbus Park Crossing","6783 Veterans Pkwy Suite 100","Columbus","GA","31909","US","489","706.323.0260","<MISSING>","32.5457864","-84.9528589","<MISSING>"
"drmarklynn.com","<MISSING>","Northlake Mall","4153 LaVista Rd, Ste C","Tucker","GA","30084","US","471","770.939.8828","<MISSING>","33.8460501","-84.248829","<MISSING>"
"drmarklynn.com","<MISSING>","Etown","1609 N Dixie Ave Ste 100","Elizabethtown","KY","42701","US","555","270.765.7372","<MISSING>","37.7295886","-85.8842007","<MISSING>"
"drmarklynn.com","<MISSING>","Colonial Towne Park","841 Industrial Blvd","Smyrna","TN","37167","US","581","615.220.6108","<MISSING>","35.97995","-86.56700409999999","<MISSING>"
"drmarklynn.com","<MISSING>","Cool Springs","8113 Moores Lane, Ste 1800","Brentwood","TN","37027","US","561","615.309.5050","<MISSING>","35.9652569","-86.8010765","<MISSING>"
"drmarklynn.com","<MISSING>","Cumberland Mall","1245 Cumberland Mall","Altanta","GA","30339","US","474","770.434.0440","<MISSING>","33.8801743","-84.47075889999999","<MISSING>"
"drmarklynn.com","<MISSING>","Henry Town Center","1862 Jonesboro Rd","McDonough","GA","30253","US","486","678.432.1584","<MISSING>","33.4661726","-84.2182206","<MISSING>"
"drmarklynn.com","<MISSING>","Fishers Corner Shoppes II","11781 Commercial Dr","Fishers","IN","46038","US","596","317.913.0735","<MISSING>","39.96005","-86.01204000000001","<MISSING>"
"drmarklynn.com","<MISSING>","Ashley Park","324 Newnan Crossing Bypass","Newnan","GA","30265","US","487","678.423.3927","<MISSING>","33.3899001","-84.7624869","<MISSING>"
"drmarklynn.com","<MISSING>","Hickory Hollow","5304-J Mt View Rd","Antioch","TN","37013","US","556","615.731.2701","<MISSING>","36.04836969999999","-86.64906479999999","<MISSING>"
"drmarklynn.com","<MISSING>","Springhill","2012 Crossings Circle Suite B","Springhill","TN","37174","US","1343","(931) 489-9151","<MISSING>","35.7410053","-86.9421461","<MISSING>"
"drmarklynn.com","<MISSING>","The Paddocks at Mt. Juliet","20 Old Pleasant Grove Rd, Ste 200","Mt. Juliet","TN","37122","US","579","615.758.3833","<MISSING>","36.1751224","-86.5136382","<MISSING>"
"drmarklynn.com","<MISSING>","Cartersville","50 Main Street Market Place SE Ste 100","Cartersville","GA","30121","US","1331","770.382.6379","<MISSING>","34.1729389","-84.7794902","<MISSING>"
"drmarklynn.com","<MISSING>","Castleton Square Mall","6020 E 82nd St, Space 810","Indianapolis","IN","46250","US","587","317.842.2018","<MISSING>","39.9092285","-86.06538619999999","<MISSING>"
"drmarklynn.com","<MISSING>","Athens Place","1805 Epps Bridge Parkway, Ste 105","Athens","GA","30606","US","540","706.352.2282","<MISSING>","33.9165654","-83.4450339","<MISSING>"
"drmarklynn.com","<MISSING>","Rivergate Mall","1000 Rivergate Pkwy, #1560","Goodlettsville","TN","37072","US","165","615.859.7447","<MISSING>","36.302848","-86.699942","<MISSING>"
"drmarklynn.com","<MISSING>","Camp Creek Marketplace","3360 Shelby Lane, Ste 1010","East Point","GA","30344","US","484","404.344.0274","<MISSING>","33.6575048","-84.5005937","<MISSING>"
"drmarklynn.com","<MISSING>","Rivergate","1701 Gallatin Rd","Madison","TN","37115","US","560","615.868.2000","<MISSING>","36.2936506","-86.70141459999999","<MISSING>"
"drmarklynn.com","<MISSING>","Pavilion of Turkey Creek","10930 Parkside Dr","Knoxville","TN","37934","US","589","865.671.1188","<MISSING>","35.9021699","-84.1483715","<MISSING>"
"drmarklynn.com","<MISSING>","The Crossing at Indian Lake Village","254 Indian Lake Blvd, Ste 100","Hendersonville","TN","37075","US","580","615.822.0446","<MISSING>","36.3263087","-86.594684","<MISSING>"
"drmarklynn.com","<MISSING>","Murfreesboro","115 Mall Circle Dr, Ste A","Murfreesboro","TN","37129","US","558","615.895.7090","<MISSING>","35.8467552","-86.42125","<MISSING>"
"drmarklynn.com","<MISSING>","Centre East Shoppes","10777 E Washington St, Ste A","Indianapolis","IN","46229","US","586","317.897.0480","<MISSING>","39.7750475","-85.9754011","<MISSING>"
"drmarklynn.com","<MISSING>","Presidential Market","1905 Scenic Hwy, Ste 1130","Snellville","GA","30078","US","482","678.344.9954","<MISSING>","33.8766585","-84.0147767","<MISSING>"
"drmarklynn.com","<MISSING>","Fayette Pavilion","165 Pavilion Pkwy","Fayetteville","GA","30214","US","481","678.817.4875","<MISSING>","33.4818232","-84.44546299999999","<MISSING>"
"drmarklynn.com","<MISSING>","Cumming Station","1530 Market Place Blvd, Ste D","Cumming","GA","30041","US","488","678.513.8541","<MISSING>","34.1866905","-84.1319354","<MISSING>"
"drmarklynn.com","<MISSING>","Jackson Plaza","377 West Jackson St, #D-1","Cookeville","TN","38501","US","573","931.525.1268","<MISSING>","36.1569149","-85.5156554","<MISSING>"
"drmarklynn.com","<MISSING>","Cool Springs Mall","1800 Galleria Blvd, #1330","Franklin","TN","37064","US","163","615.771.7382","<MISSING>","35.957118","-86.8135382","<MISSING>"
"drmarklynn.com","<MISSING>","Nashville West","6800 Charlotte Pike, Ste 110","Nashville","TN","37209","US","577","615.354.5807","<MISSING>","36.1350751","-86.8884863","<MISSING>"
