"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter East","3943 E. Thomas Road","Phoenix","AZ","85018","US","<MISSING>","(602) 275-4815","<MISSING>","33.4798313","-111.9960798","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter East II","4041 E Thomas Rd.","Phoenix","AZ","85018","US","<MISSING>","(602) 667-7759","<MISSING>","33.4799185","-111.9942959","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter Metro","7910 North 43rd Avenue","Glendale","AZ","85301","US","<MISSING>","(623) 842-6157","<MISSING>","33.5512036","-112.1521838","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter Northeast","1290 N Scottsdale Road","Tempe","AZ","85281","US","<MISSING>","(602) 485-9872","<MISSING>","33.4428589","-111.9277361","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter Northwest","9516 W. Peoria Ave","Peoria","AZ","85345","US","<MISSING>","(623) 878-4503","<MISSING>","33.5810794","-112.2644185","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter Valencia","1660 W. Valencia Road","Tucson","AZ","85746","US","<MISSING>","(520) 573-5858","<MISSING>","32.1362887","-111.0021114","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/az/","Charter West","2909 West Bell Road","Phoenix","AZ","85053","US","<MISSING>","(602) 564-8102","<MISSING>","33.639078","-112.1224433","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/co/","Alamosa","2431 Main St., Unit 10","Alamosa","CO","81101","US","<MISSING>","<MISSING>","<MISSING>","37.471146","-105.884537","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/ga/","Baxley","19 S. Brobston St., Ste. 3","Baxley","GA","31513","US","<MISSING>","<MISSING>","<MISSING>","31.784132","-82.352623","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/ga/","Baldwin","127 Executive Parkway","Milledgeville","GA","31061","US","<MISSING>","<MISSING>","<MISSING>","33.098583","-83.257454","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/ga/","Camden","930 E. King Ave., Ste. 4","Kingsland","GA","31548","US","<MISSING>","<MISSING>","<MISSING>","30.799000","-81.677353","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/ga/","Camden South","927 Point Peter Road, Stes. 2-5","St. Marys","GA","31558","US","<MISSING>","<MISSING>","<MISSING>","30.756390","-81.571388","<MISSING>"
"https://www.ombudsman.com/","https://www.ombudsman.com/state/ga/","Kingsland","930 E. King Ave., Ste.6","Kingsland","GA","31548","US","<MISSING>","<MISSING>","<MISSING>","30.799000","-81.677353","<MISSING>"
