"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Orillia/0580?storeId=0580","Orillia","289 Coldwater Road ","Orillia","ON","L3V 6J3","CA","0580","705-325-5777","<MISSING>","44.6081185","-79.5079345","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 8:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Duckworth/0514?storeId=0514","Duckworth","607 Cundles Rd E ","Barrie","ON","L4M 0J7","CA","0514","705-722-3636","<MISSING>","44.4143399","-79.678788","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Big+Bay+Point/0565?storeId=0565","Big Bay Point","620 Yonge St ","Barrie","ON","L4N 4E6","CA","0565","705-735-2390","<MISSING>","44.3551851","-79.7186714","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Essa+Road/0507?storeId=0507","Essa Road","11 Bryne Dr ","Barrie","ON","L4N 8V8","CA","0507","705-733-1119","<MISSING>","44.3582333","-79.7649747","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Keswick/0520?storeId=0520","Keswick","24018 Woodbine Ave Rr 2 ","Keswick","ON","L4P 3E9","CA","0520","905-476-1318","<MISSING>","44.227112","-79.5188376","Weekly HoursMonday - 8:00 AM - 11:00 PMTuesday - 8:00 AM - 11:00 PMWednesday - 8:00 AM - 11:00 PMThursday - 8:00 AM - 11:00 PMFriday - 8:00 AM - 11:00 PMSaturday - 8:00 AM - 11:00 PMSunday - 8:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Uxbridge/0552?storeId=0552","Uxbridge","323 Toronto St S ","Uxbridge","ON","L9P 1N2","CA","0552","905-852-1212","<MISSING>","44.0896959","-79.1330049","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Owen+Sound/0563?storeId=0563","Owen Sound","1150 16th St E ","Owen Sound","ON","N4K 1Z3","CA","0563","519-371-1196","<MISSING>","44.5746541","-80.9946154","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 8:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Bradford/0505?storeId=0505","Bradford","500 Holland St W ","Bradford","ON","L3Z 0A2","CA","0505","905-778-1297","<MISSING>","44.1057071","-79.5938789","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Alliston/0509?storeId=0509","Alliston","30 King St S ","Alliston","ON","L9R 1H6","CA","0509","705-434-9391","<MISSING>","44.150591","-79.949598","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 8:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Bolton/0558?storeId=0558","Bolton","487 Queen St S ","Bolton","ON","L7E 2B4","CA","0558","905-951-9555","<MISSING>","43.871431","-79.7944234","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 8:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Orangeville/0554?storeId=0554","Orangeville","50-Heritage Mall 4th Ave ","Orangeville","ON","L9W 1L0","CA","0554","519-942-4223","<MISSING>","43.9262415","-80.1614193","Weekly HoursMonday - 7:00 AM - 11:00 PMTuesday - 7:00 AM - 11:00 PMWednesday - 7:00 AM - 11:00 PMThursday - 7:00 AM - 11:00 PMFriday - 7:00 AM - 11:00 PMSaturday - 7:00 AM - 11:00 PMSunday - 7:00 AM - 11:00 PM"
"""https://www.zehrs.ca/","https://www.zehrs.ca//store-locator/Fergus/0539?storeId=0539","Fergus","800 Tower St S ","Fergus","ON","N1M 2R3","CA","0539","519-843-5500","<MISSING>","43.69811","-80.3709716","Weekly HoursMonday - 8:00 AM - 10:00 PMTuesday - 8:00 AM - 10:00 PMWednesday - 8:00 AM - 10:00 PMThursday - 8:00 AM - 10:00 PMFriday - 8:00 AM - 10:00 PMSaturday - 7:00 AM - 10:00 PMSunday - 8:00 AM - 8:00 PM"
