"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Alex City Area","PO Box 1973","Alexander City","AL","35011","US","<MISSING>","(256) 329-3252","<MISSING>","32.9394","-85.9466","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Covington County Alabama","PO Box 1034","Andalusia","AL","36420","US","<MISSING>","(334) 222-0827","<MISSING>","31.1836","-86.5372","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Calhoun County","PO Box 1135","Anniston","AL","36202-1135","US","<MISSING>","(256) 237-3700","<MISSING>","33.717","-85.8754","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Escambia County HFH","PO Box 119","Brewton","AL","36427-0119","US","<MISSING>","(251) 867-0095","<MISSING>","31.1052","-87.0725","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Habitat for Humanity of Morgan County Alabama","1123 Central Pkwy. SW","Decatur","AL","35602","US","<MISSING>","(256) 340-9609","<MISSING>","34.5439","-86.9631","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Demopolis Area HFH","PO Box 1203","Demopolis","AL","36732","US","<MISSING>","(334) 289-1177","<MISSING>","32.4249","-87.8861","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Wiregrass HFH","PO Box 7002","Dothan","AL","36302-7002","US","<MISSING>","(334) 792-8453","<MISSING>","31.2274","-85.3936","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Coffee Co Alabama","PO Box 311354","Enterprise","AL","36331","US","<MISSING>","(334) 347-2866","<MISSING>","31.3153","-85.8554","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Greater Birmingham HFH","PO Box 540","Fairfield","AL","35064","US","<MISSING>","(205) 780-1234","<MISSING>","33.4745","-86.9193","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Shoals HFH","PO Box 3135","Florence","AL","35630","US","<MISSING>","(256) 760-9515","<MISSING>","34.8302","-87.6645","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Northwest Alabama","PO Box 160","Guin","AL","35563-0160","US","<MISSING>","(205) 468-2900","<MISSING>","33.9643","-87.8981","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Habitat for Humanity of Marshall County Alabama Inc.","PO Box 2","Guntersville","AL","35976-0002","US","<MISSING>","(256) 202-9468","<MISSING>","34.3002","-86.3298","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Madison County","400 Pratt Ave NW","Huntsville","AL","35801-5535","US","<MISSING>","(256) 533-2282","<MISSING>","34.7252","-86.5616","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Southwest Alabama HFH","PO Box 16422","Mobile","AL","36616","US","<MISSING>","(251) 476-7171","<MISSING>","30.7006","-88.0455","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Montgomery HFH","123 Julia St","Montgomery","AL","36104-5015","US","<MISSING>","(334) 832-9313","<MISSING>","32.3921","-86.3187","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Auburn Opelika Habitat for Humanity","605 A 2nd Ave","Opelika","AL","36801","US","<MISSING>","(334) 745-2123","<MISSING>","32.6833","-85.4034","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Phenix City AL inc.","PO Box 3590","Phenix City","AL","36868-3590","US","<MISSING>","(334) 291-5220","<MISSING>","32.4709","-85.0005","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Autauga and Chilton Counties","431 West Fourth Street Suite A","Prattville","AL","36067","US","<MISSING>","(334) 365-4132","<MISSING>","32.5081","-86.5564","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Gadsden-Etowah HFH","3644 Rainbow Drive","Rainbow City","AL","35906","US","<MISSING>","(256) 543-1898","<MISSING>","33.9427","-86.0638","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Jackson County","PO Box 922","Scottsboro","AL","35768-0922","US","<MISSING>","(256) 574-4138","<MISSING>","34.7061","-86.0958","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Selma HFH","1004 Keith Way","Selma","AL","36701","US","<MISSING>","(334) 526-4029","<MISSING>","32.4494","-87.0178","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Baldwin County","PO Box 854","Summerdale","AL","36580","US","<MISSING>","(251) 943-7268","<MISSING>","30.4824","-87.7037","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Sylacauga Area HFH","PO Box 2595","Sylacauga","AL","35150-2482","US","<MISSING>","(256) 861-6484","<MISSING>","33.1797","-86.2258","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","Troy-Pike HFH","PO BOX 441","Troy","AL","36081-0441","US","<MISSING>","(334) 372-7578","<MISSING>","31.8014","-85.9819","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AL","HFH of Tuscaloosa","1120 35th St Ste B","Tuscaloosa","AL","35401","US","<MISSING>","(205) 349-4629","<MISSING>","33.1664","-87.6118","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AK","Anchorage HFH","1057 W. Fireweed Lane #103","Anchorage","AK","99503","US","<MISSING>","(907) 272-0800","<MISSING>","61.1877","-149.889","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AK","Central Peninsula HFH","PO Box 2907","Soldotna","AK","99669-2907","US","<MISSING>","(907) 283-7797","<MISSING>","60.4453","-151.1785","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AK","Mat-Su HFH","PO Box 876097","Wasilla","AK","99687-6097","US","<MISSING>","(907) 373-7278","<MISSING>","61.4768","-149.8886","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Bullhead Regional HFH","PO Box 21418","Bullhead City","AZ","86439-1418","US","<MISSING>","(928) 763-4775","<MISSING>","35.1479","-114.5676","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Globe-Miami HFH","PO Box 328","Claypool","AZ","85532-0328","US","<MISSING>","(928) 425-2340","<MISSING>","33.4077","-110.8144","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Verde Valley HFH","737 South Main St","Cottonwood","AZ","86326-2515","US","<MISSING>","(928) 649-6788","<MISSING>","34.6334","-112.1256","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","HFH of Northern Arizona","PO Box 3783","Flagstaff","AZ","86003-3783","US","<MISSING>","(928) 779-1314","<MISSING>","35.2278","-111.5695","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Payson Area HFH","PO Box 1131","Payson","AZ","85547-1131","US","<MISSING>","(928) 474-0330","<MISSING>","34.2306","-111.3245","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","HFH Central Arizona","9133 NW Grand Ave Ste 1","Peoria","AZ","85345","US","<MISSING>","(623) 583-2417","<MISSING>","33.5735","-112.2595","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Prescott Area HFH","1230 Willow Crk Rd","Prescott","AZ","86301-1428","US","<MISSING>","(928) 445-8003","<MISSING>","34.6294","-112.4304","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","HFH Tucson","3501 North Mtn Ave","Tucson","AZ","85719","US","<MISSING>","(520) 326-1217","<MISSING>","32.2456","-110.9484","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Wickenburg Area HFH","PO Box 21117","Wickenburg","AZ","85358-6117","US","<MISSING>","(928) 684-2220","<MISSING>","33.9689","-112.7286","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","Williams Area HFH","PO Box 814","Williams","AZ","86046-0814","US","<MISSING>","(701) 361-2324","<MISSING>","35.6062","-112.4411","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AZ","HFH of Yuma","PO Box 4089","Yuma","AZ","85366-4089","US","<MISSING>","(928) 783-3993","<MISSING>","32.7256","-114.6238","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Independence County","PO Box 3956","Batesville","AR","72503","US","<MISSING>","(870) 793-1999","<MISSING>","35.7698","-91.6409","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Saline County AR","404 W Walnut St","Benton","AR","72015-5152","US","<MISSING>","(501) 315-5434","<MISSING>","34.5666","-92.583","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Benton County","1212 North Walton","Bentonville","AR","72712","US","<MISSING>","(479) 355-5970","<MISSING>","36.3232","-94.2666","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","Ouachita County HFH","645 Fairview Rd SW","Camden","AR","71711","US","<MISSING>","(870) 807-2338","<MISSING>","33.5694","-92.8386","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Faulkner County","PO Box 1447","Conway","AR","72033","US","<MISSING>","(501) 513-3244","<MISSING>","35.0834","-92.3731","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","El Dorado HFH","PO Box 1447","El Dorado","AR","71731-1447","US","<MISSING>","<MISSING>","<MISSING>","33.2077","-92.6663","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Washington County Arkansas","PO Box 3872","Fayetteville","AR","72702","US","<MISSING>","(479) 575-9696","<MISSING>","36.0625","-94.1573","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","Arkansas Valley HFH","PO Box 754","Fort Smith","AR","72902","US","<MISSING>","(479) 782-8255","<MISSING>","35.3176","-94.3557","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Phillips County AR","419 Cherry St","Helena","AR","72342-3301","US","<MISSING>","(870) 816-6798","<MISSING>","34.4952","-90.7117","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","Garland County HFH","240 Hobson Avenue","Hot Springs","AR","71913","US","<MISSING>","(501) 623-5600","<MISSING>","34.4476","-93.1429","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Greater Jonesboro","PO Box 19051","Jonesboro","AR","72403","US","<MISSING>","(870) 203-9898","<MISSING>","35.8719","-90.6426","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Central Arkansas","6700 S. University Avenue","Little Rock","AR","72209","US","<MISSING>","(501) 376-4434","<MISSING>","34.6728","-92.3679","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of Paragould","PO Box 222","Paragould","AR","72451-0222","US","<MISSING>","(870) 236-1115","<MISSING>","36.0584","-90.5003","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","Jefferson County HFH","211 W 3rd Ave Ste 205","Pine Bluff","AR","71601","US","<MISSING>","(870) 536-3822","<MISSING>","34.193","-91.9403","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","Pope County Arkansas HFH","PO Box 1863","Russellville","AR","72811-1863","US","<MISSING>","(479) 280-3728","<MISSING>","35.2784","-93.1336","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=AR","HFH of White County AR","PO Box 1004","Searcy","AR","72145-1004","US","<MISSING>","(501) 268-5589","<MISSING>","35.2486","-91.7604","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","Calaveras HFH","P. O. Box 1469","Angels Camp","CA","95222","US","<MISSING>","(209) 890-3848","<MISSING>","38.0709","-120.6436","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","HFH of Merced County","PO Box 423","Atwater","CA","95301-0423","US","<MISSING>","(209) 726-0850","<MISSING>","37.2953","-120.6669","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","San Gabriel Valley HFH","400 S Irwindale Ave","Azusa","CA","91702","US","<MISSING>","(626) 387-6899","<MISSING>","34.1312","-117.9157","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","HFH Golden Empire","1500 E 19th St","Bakersfield","CA","93305-5406","US","<MISSING>","(661) 861-8449","<MISSING>","35.3879","-118.9851","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","HFH of San Gorgonio Pass Area","PO Box 269","Banning","CA","92220","US","<MISSING>","(951) 769-7600","<MISSING>","33.9464","-116.8543","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","HFH of Greater Los Angeles","8739 Artesia Blvd","Bellflower","CA","90706","US","<MISSING>","(310) 323-4663","<MISSING>","33.8879","-118.1274","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","HFH of Butte County","PO Box 3073","Chico","CA","95927","US","<MISSING>","(530) 343-7423","<MISSING>","39.7516","-121.8096","<MISSING>"
"https://www.habitat.org","https://www.habitat.org/local/affiliate-by-state?state=CA","Del Norte HFH","PO Box 993","Crescent City","CA","95531-0993","US","<MISSING>","(707) 458-3205","<MISSING>","41.7882","-123.9997","<MISSING>"
