"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Abbotsford","7 OAKS SHOPPING CENTRE  32900 SOUTH FRASER WAY","ABBOTSFORD","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Anjou","7 OAKS SHOPPING CENTRE  32900 SOUTH FRASER WAY","Anjou","BC","H1M 1W6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Banff","125 BANFF AVENUE","BANFF","AB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Barrie","GEORGIAN MALL  465 BAYFIELD STREET","BARRIE","ON","L4M 4Z9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Bayshore","BAYSHORE SHOPPING CENTRE  100 BAYSHORE DR.","OTTAWA","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Bloor St","BAYSHORE SHOPPING CENTRE  100 BAYSHORE DR.","CANADA","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Boulevard","CENTRE D'ACHATS LE BOULEVARD  4150 RUE JEAN-TALON E","MONTREAL","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Bramalea","Masonville Place  1680 Richmond Street","London","ON","N6G 3Y9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Brossard","MAIL CHAMPLAIN  2151 BOUL. LAPINIERE","BROSSARD","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Burlington Mall","BURLINGTON MALL  777 GUELPH LINE","BURLINGTON","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Cambridge","CAMBRIDGE CENTRE  355 HESPELER ROAD","355 HESPELER ROAD","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Capitale","LES GALERIES DE LA CAPITALE  5401 BOUL. DES GALERIES","QUEBEC","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Carrefour Laval","Carrefour Laval, 3045 Boulevard Le Carrefour","<MISSING>","<MISSING>","H7T 1C7","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Centrepoint","CENTERPOINT MALL  6500 YONGE STREET","WILLOWDALE","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Chinook","Chinook Centre, 6455 Macleod Trail S.w","<MISSING>","<MISSING>","T2H 0L1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Coquitlam","COQUITLAM CENTRE  100 2929 BARNET HIGHWAY","COQUITLAM","BC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Darmouth","MICMAC MALL  21 MICMAC BLVD.","DARTMOUTH","NS","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Dorval","LES PROMENADES GATINEAU  1100 BOUL. MALONEY O.","GATINEAU","QC","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
