"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://oreganos.com/","http://oreganos.com/locations/cave-creek/","Cave Creek","37645 N. Cave Creek Rd.","Cave Creek","AZ","85331","US","23427","(480) 889-0386","<MISSING>","33.825521","-111.954780"," Open 11-9 Sun - Thurs Open 11-10 Fri - Sat"
"http://oreganos.com/","http://oreganos.com/locations/chandler/","Chandler","1960 W. Germann Rd.","Chandler","AZ","85286","US","23431","(480) 265-4580","<MISSING>","33.277985","-111.875679"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/flagstaff-country-club/","Flagstaff Country Club","980 N. Country Club Dr.","Flagstaff","Arizona","86004","US","26546","(928) 233-3000","<MISSING>","35.21432","-111.579392"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/flagstaff-university/","Flagstaff Unversity","1061 South Plaza Way","Flagstaff","AZ","86001","US","26964","(928) 773-8600","<MISSING>","35.190188","-111.662189"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/gilbert/","Gilbert","328 N Gilbert Rd.","Gilbert","AZ","85234","US","23422","(480) 882-9336","<MISSING>","33.355968","-111.790016"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/glendale/","Glendale","6738 W Bell Rd.","Glendale","AZ","85308","US","23425","(623) 223-1150","<MISSING>","33.638821","-112.204185"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/goodyear/","Goodyear","15280 W. McDowell Rd.","Goodyear","AZ","85395","US","23426","(623) 760-9588","<MISSING>","33.465282","-112.387772"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/mesa/","Mesa","1130 S. Dobson Rd.","Mesa","AZ","85202","US","23430","(480) 962-0036","<MISSING>","33.393970","-111.875053"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/north-tucson/","North Tucson","100 W. Orange Grove Rd.","Tucson","AZ","85704","US","23433","(520) 229-9999","<MISSING>","32.323135","-110.973679"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/old-town-scottsdale/","Old Town Scottsdale","3102 N. Scottsdale Rd.","Scottsdale","AZ","85251","US","23423","(480) 970-1860","<MISSING>","33.483318","-111.926666"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/paradise-valley/","Paradise Valley","4602 E. Cactus Rd.","Phoenix","AZ","85032","US","23424","(602) 482-0054","<MISSING>","33.599689","-111.982376"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/phoenix/","Phoenix","1008 E Camelback Rd.","Phoenix","AZ","85014","US","23420","(602) 241-0707","<MISSING>","33.509434","-112.060204"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/queen-creek/","Queen Creek","20677 E Maya Rd.","Queen Creek","AZ","85142","US","23435","(480) 355-0750","<MISSING>","33.254070","-111.636002"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/north-scottsdale/","Scottsdale   Shea","7215 E Shea Blvd.","Scottsdale","AZ","85258","US","23421","(480) 348-0500","<MISSING>","33.581902","-111.925217"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/Sedona/","Sedona","150 Highway 179","Sedona","Arizona","86336","US","26616","(928) 641-9001","<MISSING>","34.865401","-111.763859"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/south-tempe/","South Tempe","1475 W. Elliot Rd.","Tempe","AZ","85284","US","23429","(480) 966-0401","<MISSING>","33.348663","-111.962608"," Open 11-10 Every Day"
"http://oreganos.com/","http://oreganos.com/locations/south-Tucson/","South Tucson","4884 South Landing Way","Tucson","AZ","85714","US","26765","(520) 352-0160","<MISSING>","32.163926","-110.988924"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/superstition-springs/","Superstition Springs","6821 East Superstition Springs Blvd.","Mesa","AZ","85209","US","26397","(480) 305-5096","<MISSING>","33.383252","-111.683800"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/surprise/","Surprise","16914 W. Bell Road","Surprise","AZ","85374","US","26437","(623) 223-1511","<MISSING>","33.639022","-112.423622"," Open 11-10 Sun-Sat"
"http://oreganos.com/","http://oreganos.com/locations/tempe/","Tempe","523 W. University Dr.","Tempe","AZ","85281","US","23428","(480) 858-0501","<MISSING>","33.421700","-111.946754"," Open 11-10 Sun - Thurs Open 11-11 Fri - Sat"
"http://oreganos.com/","http://oreganos.com/locations/tucson/","Tucson","4900 E Speedway Blvd.","Tucson","AZ","85712","US","23432","(520) 327-8955","<MISSING>","32.236122","-110.888298"," Open 11-10 Everyday"
"http://oreganos.com/","http://oreganos.com/locations/Boulder/","Boulder","2690 Baseline Road","Boulder","CO","80305","US","27086","(720) 460-2010","<MISSING>","39.999856","-105.26049"," 11am - 10pm Every Day"
"http://oreganos.com/","http://oreganos.com/locations/fort-collins/","Fort Collins","4235 S. College Avenue","Fort Collins","CO","80525","US","26854","(970) 449-6121","<MISSING>","40.527959","-105.077616"," Open 11-9 Sun - Thurs Open 11-10 Fri - Sat"
